COD_PRODUCTO;COD_PRESENTACION;PRECIO_AL_POR_MAYOR;PRECIO_AL_DETAL;
65;12;1316;1631;
65;13;2632;3611;
65;14;5264;5289;
65;15;6580;9279;
65;16;13160;19664;
65;17;26320;34057;
65;18;52640;52660;
65;19;65800;93571;
65;20;131600;154305;
65;21;658;948;
65;22;1316;1339;
65;23;2632;2982;
65;24;5264;5538;
65;25;6580;8456;
65;26;13160;18181;
65;27;26320;31238;
65;28;52640;65317;
65;29;65800;84398;
65;30;131600;179383;
66;11;881;1290;
66;12;1762;1983;
66;13;3524;5053;
66;14;7048;10284;
66;15;8810;10455;
66;16;17620;26063;
66;17;35240;36353;
66;18;70480;97562;
66;19;88100;99516;
66;20;176200;200701;
66;21;881;1096;
66;22;1762;2048;
66;23;3524;3731;
66;24;7048;10310;
66;25;8810;12426;
66;26;17620;25864;
66;27;35240;43034;
66;28;70480;88380;
66;29;88100;109970;
66;30;176200;247283;
67;1;305;447;
67;2;610;760;
67;3;1220;1389;
67;4;2440;2592;
67;5;3050;3705;
67;6;6100;7441;
67;7;12200;14413;
67;8;24400;27993;
67;9;30500;30622;
67;10;61000;64009;
68;1;932;1087;
68;2;1865;2003;
68;3;3730;5083;
68;4;7460;9041;
68;5;9325;11885;
68;6;18650;25962;
68;7;37300;38902;
68;8;74600;104720;
68;9;93250;103304;
68;10;186500;200721;
69;1;227;283;
69;2;455;610;
69;3;910;956;
69;4;1820;2631;
69;5;2275;3272;
69;6;4550;4596;
69;7;9100;10577;
69;8;18200;19472;
69;9;22750;31912;
69;10;45500;61267;
70;1;891;1273;
70;2;1783;1835;
70;3;3566;3753;
70;4;7132;10482;
70;5;8915;10536;
70;6;17830;21009;
70;7;35660;51219;
70;8;71320;89348;
70;9;89150;112660;
70;10;178300;218344;
71;1;468;609;
71;2;937;1191;
71;3;1874;2550;
71;4;3748;5068;
71;5;4685;6608;
71;6;9370;12198;
71;7;18740;25739;
71;8;37480;42859;
71;9;46850;55329;
71;10;93700;100285;
72;1;838;925;
72;2;1677;2291;
72;3;3354;3377;
72;4;6708;6937;
72;5;8385;10421;
72;6;16770;20655;
72;7;33540;46607;
72;8;67080;93804;
72;9;83850;99901;
72;10;167700;197473;
