NUMERO;COD_LUGAR_ORIGEN;COD_LUGAR_DESTINO;FECHA_MOVIMIENTO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD
4700274;944;5759;TO_DATE('2014-04-19','YYYY-MM-DD');63;29;10;
7203242;944;5014;TO_DATE('2014-04-15','YYYY-MM-DD');59;26;7;
5445950;944;5551;TO_DATE('2014-04-23','YYYY-MM-DD');59;26;10;
8428235;944;5181;TO_DATE('2014-04-12','YYYY-MM-DD');51;17;8;
6307812;944;6462;TO_DATE('2014-04-23','YYYY-MM-DD');63;29;9;
3630123;2214;6168;TO_DATE('2013-08-09','YYYY-MM-DD');25;13;5;
7847717;2214;4620;TO_DATE('2013-08-01','YYYY-MM-DD');48;14;9;
8266590;2214;5296;TO_DATE('2013-07-31','YYYY-MM-DD');45;23;2;
5591968;2214;6278;TO_DATE('2013-08-01','YYYY-MM-DD');20;15;7;
8278308;3661;4890;TO_DATE('2013-12-22','YYYY-MM-DD');36;24;4;
1829663;3661;5972;TO_DATE('2013-12-27','YYYY-MM-DD');30;29;1;
7045286;3661;5672;TO_DATE('2013-12-27','YYYY-MM-DD');36;24;6;
7420719;3214;5314;TO_DATE('2014-03-21','YYYY-MM-DD');33;11;10;
7669136;3214;5762;TO_DATE('2014-03-24','YYYY-MM-DD');33;11;10;
5373762;3214;4709;TO_DATE('2014-03-29','YYYY-MM-DD');21;25;9;
6357102;3214;5109;TO_DATE('2014-03-27','YYYY-MM-DD');43;17;1;
7747678;3214;4951;TO_DATE('2014-03-29','YYYY-MM-DD');21;25;7;
8684564;3960;5181;TO_DATE('2013-10-24','YYYY-MM-DD');63;25;2;
1808674;3284;5864;TO_DATE('2013-09-13','YYYY-MM-DD');72;1;3;
7270142;2822;5841;TO_DATE('2013-09-25','YYYY-MM-DD');21;16;3;
4553800;2822;6351;TO_DATE('2013-09-29','YYYY-MM-DD');12;22;4;
9012024;2822;4622;TO_DATE('2013-09-17','YYYY-MM-DD');53;22;9;
8857821;2822;6498;TO_DATE('2013-09-28','YYYY-MM-DD');53;22;2;
7853188;2822;5445;TO_DATE('2013-09-26','YYYY-MM-DD');34;17;3;
6673262;4433;6076;TO_DATE('2013-07-25','YYYY-MM-DD');41;18;8;
4166067;4433;5483;TO_DATE('2013-07-19','YYYY-MM-DD');42;20;7;
2210370;4433;5978;TO_DATE('2013-07-25','YYYY-MM-DD');42;20;3;
7946389;4433;6061;TO_DATE('2013-07-26','YYYY-MM-DD');53;23;2;
2776401;4433;5550;TO_DATE('2013-07-20','YYYY-MM-DD');12;19;2;
3213816;4433;4669;TO_DATE('2013-07-31','YYYY-MM-DD');41;18;1;
2639607;3137;5184;TO_DATE('2014-02-26','YYYY-MM-DD');53;5;3;
8581708;3137;6358;TO_DATE('2014-02-27','YYYY-MM-DD');53;5;6;
4156639;3137;6314;TO_DATE('2014-02-17','YYYY-MM-DD');53;5;6;
3687697;3137;5188;TO_DATE('2014-02-23','YYYY-MM-DD');53;5;4;
964354;3137;5464;TO_DATE('2014-02-15','YYYY-MM-DD');16;5;7;
9626672;3137;4970;TO_DATE('2014-02-28','YYYY-MM-DD');53;5;10;
4599938;1599;4945;TO_DATE('2013-07-04','YYYY-MM-DD');68;4;10;
9441911;1599;4563;TO_DATE('2013-06-25','YYYY-MM-DD');69;7;10;
5336340;1599;6005;TO_DATE('2013-06-27','YYYY-MM-DD');69;7;8;
3909903;1599;5121;TO_DATE('2013-07-05','YYYY-MM-DD');70;9;8;
7424040;3284;5035;TO_DATE('2013-09-15','YYYY-MM-DD');13;18;7;
8877168;3284;5029;TO_DATE('2013-09-11','YYYY-MM-DD');27;21;4;
8330902;1538;6237;TO_DATE('2013-06-15','YYYY-MM-DD');6;30;9;
8059238;1538;5922;TO_DATE('2013-06-27','YYYY-MM-DD');6;30;6;
9280033;1538;5306;TO_DATE('2013-06-18','YYYY-MM-DD');51;20;8;
9946264;1538;4928;TO_DATE('2013-06-25','YYYY-MM-DD');22;24;8;
3869736;1538;6414;TO_DATE('2013-06-27','YYYY-MM-DD');51;20;10;
7625649;1538;4728;TO_DATE('2013-06-26','YYYY-MM-DD');63;22;1;
9686677;1538;5577;TO_DATE('2013-06-20','YYYY-MM-DD');6;30;3;
3055660;2445;4790;TO_DATE('2013-07-29','YYYY-MM-DD');16;4;10;
6545993;2445;6139;TO_DATE('2013-07-27','YYYY-MM-DD');16;4;9;
6894362;2445;5967;TO_DATE('2013-08-02','YYYY-MM-DD');57;7;2;
8109739;2445;5738;TO_DATE('2013-08-07','YYYY-MM-DD');3;6;1;
7421248;2445;4523;TO_DATE('2013-08-07','YYYY-MM-DD');35;4;6;
5077723;2445;5905;TO_DATE('2013-07-30','YYYY-MM-DD');3;6;9;
912121;3099;5139;TO_DATE('2013-08-04','YYYY-MM-DD');57;7;6;
2578643;3099;6186;TO_DATE('2013-07-29','YYYY-MM-DD');16;4;1;
5232852;3099;5884;TO_DATE('2013-08-09','YYYY-MM-DD');3;6;2;
1546357;3099;5286;TO_DATE('2013-08-09','YYYY-MM-DD');35;4;5;
8698667;3099;4645;TO_DATE('2013-07-31','YYYY-MM-DD');3;6;5;
4955785;2372;4835;TO_DATE('2014-04-30','YYYY-MM-DD');63;19;3;
4762000;2372;5240;TO_DATE('2014-04-23','YYYY-MM-DD');8;20;10;
3271125;2372;4531;TO_DATE('2014-05-01','YYYY-MM-DD');37;15;1;
3754142;2372;4714;TO_DATE('2014-04-24','YYYY-MM-DD');63;19;7;
8130265;2372;6109;TO_DATE('2014-04-20','YYYY-MM-DD');41;22;1;
5439038;267;5339;TO_DATE('2014-04-19','YYYY-MM-DD');41;22;1;
7025570;267;5120;TO_DATE('2014-04-20','YYYY-MM-DD');63;19;6;
6296366;267;5921;TO_DATE('2014-04-19','YYYY-MM-DD');8;20;3;
5304174;267;4834;TO_DATE('2014-04-28','YYYY-MM-DD');59;13;8;
3682743;267;6477;TO_DATE('2014-04-25','YYYY-MM-DD');37;15;4;
2297545;267;4501;TO_DATE('2014-04-19','YYYY-MM-DD');59;13;4;
5300204;3072;4846;TO_DATE('2013-10-05','YYYY-MM-DD');2;9;2;
3848575;910;4761;TO_DATE('2013-11-07','YYYY-MM-DD');7;28;9;
1304612;910;5327;TO_DATE('2013-11-10','YYYY-MM-DD');45;11;10;
1059153;411;5988;TO_DATE('2014-03-03','YYYY-MM-DD');7;25;7;
3079895;411;5855;TO_DATE('2014-02-25','YYYY-MM-DD');32;25;9;
4237119;119;6278;TO_DATE('2014-03-03','YYYY-MM-DD');32;25;7;
3011011;119;6344;TO_DATE('2014-02-24','YYYY-MM-DD');14;24;9;
2590177;119;5062;TO_DATE('2014-02-27','YYYY-MM-DD');14;24;2;
2304070;119;6009;TO_DATE('2014-02-25','YYYY-MM-DD');7;25;8;
4688995;3752;5126;TO_DATE('2013-10-20','YYYY-MM-DD');54;13;7;
9129295;3752;4621;TO_DATE('2013-10-20','YYYY-MM-DD');54;13;8;
4474013;3752;4541;TO_DATE('2013-10-17','YYYY-MM-DD');54;13;4;
1535995;768;6054;TO_DATE('2014-03-27','YYYY-MM-DD');19;18;7;
9122400;768;6014;TO_DATE('2014-04-05','YYYY-MM-DD');19;18;4;
4162727;594;5983;TO_DATE('2013-06-14','YYYY-MM-DD');37;20;7;
3239754;3460;6142;TO_DATE('2013-06-03','YYYY-MM-DD');37;20;8;
6688795;3014;5952;TO_DATE('2013-09-15','YYYY-MM-DD');68;8;2;
5084229;3014;6176;TO_DATE('2013-09-12','YYYY-MM-DD');68;8;3;
1284902;3014;5139;TO_DATE('2013-09-13','YYYY-MM-DD');71;8;4;
4374064;3014;5277;TO_DATE('2013-09-12','YYYY-MM-DD');67;5;4;
3195126;3014;5994;TO_DATE('2013-09-09','YYYY-MM-DD');67;5;10;
4525554;3014;5507;TO_DATE('2013-09-14','YYYY-MM-DD');71;8;7;
9902142;270;5068;TO_DATE('2013-06-07','YYYY-MM-DD');16;16;10;
6638589;270;5154;TO_DATE('2013-06-04','YYYY-MM-DD');16;16;8;
7386235;270;5445;TO_DATE('2013-06-04','YYYY-MM-DD');16;16;1;
6305892;453;5301;TO_DATE('2013-05-21','YYYY-MM-DD');38;24;5;
5436388;4190;4962;TO_DATE('2013-05-30','YYYY-MM-DD');38;24;2;
5310482;4190;5668;TO_DATE('2013-05-17','YYYY-MM-DD');38;24;8;
6273968;998;5013;TO_DATE('2013-12-17','YYYY-MM-DD');14;13;3;
6485929;998;5497;TO_DATE('2013-12-18','YYYY-MM-DD');14;13;4;
4223275;998;5692;TO_DATE('2013-12-19','YYYY-MM-DD');14;13;3;
8349405;998;5557;TO_DATE('2013-12-10','YYYY-MM-DD');23;30;7;
2200389;1597;6114;TO_DATE('2013-10-08','YYYY-MM-DD');50;30;1;
9777626;1597;6353;TO_DATE('2013-10-06','YYYY-MM-DD');68;19;3;
783166;1597;6434;TO_DATE('2013-10-10','YYYY-MM-DD');68;19;8;
3197331;1597;4835;TO_DATE('2013-10-04','YYYY-MM-DD');54;11;1;
9879711;1913;5246;TO_DATE('2013-06-02','YYYY-MM-DD');66;6;3;
9649004;1913;4849;TO_DATE('2013-05-30','YYYY-MM-DD');10;5;3;
5482201;1913;5545;TO_DATE('2013-06-08','YYYY-MM-DD');7;1;1;
2750226;1913;6339;TO_DATE('2013-06-06','YYYY-MM-DD');57;6;5;
2200923;1913;4626;TO_DATE('2013-06-01','YYYY-MM-DD');66;6;1;
4262520;1913;5190;TO_DATE('2013-06-03','YYYY-MM-DD');56;10;10;
9086634;1421;6032;TO_DATE('2013-08-10','YYYY-MM-DD');54;13;2;
3384913;3610;5487;TO_DATE('2013-08-24','YYYY-MM-DD');14;29;1;
1371192;3610;4989;TO_DATE('2013-09-02','YYYY-MM-DD');5;15;2;
8832064;3610;6376;TO_DATE('2013-09-01','YYYY-MM-DD');48;25;7;
3973954;3122;6035;TO_DATE('2014-04-06','YYYY-MM-DD');66;23;4;
9289601;3122;6137;TO_DATE('2014-04-12','YYYY-MM-DD');56;16;3;
4425874;3122;5590;TO_DATE('2014-03-31','YYYY-MM-DD');66;23;10;
3766585;3122;5053;TO_DATE('2014-04-08','YYYY-MM-DD');56;16;1;
3950524;3122;5997;TO_DATE('2014-04-08','YYYY-MM-DD');66;23;9;
7862174;3122;6187;TO_DATE('2014-03-31','YYYY-MM-DD');66;23;6;
6009105;3209;5423;TO_DATE('2014-04-12','YYYY-MM-DD');58;29;6;
3845296;3209;4990;TO_DATE('2014-04-05','YYYY-MM-DD');52;18;1;
2995007;3209;5193;TO_DATE('2014-04-13','YYYY-MM-DD');52;18;2;
6769194;3209;6261;TO_DATE('2014-04-06','YYYY-MM-DD');66;23;2;
1717899;3209;5032;TO_DATE('2014-04-10','YYYY-MM-DD');58;29;7;
2144099;3209;4872;TO_DATE('2014-04-02','YYYY-MM-DD');56;16;2;
1060771;3209;4993;TO_DATE('2014-04-05','YYYY-MM-DD');66;23;2;
9255481;2022;5440;TO_DATE('2014-02-27','YYYY-MM-DD');68;5;10;
7493899;2022;5553;TO_DATE('2014-03-06','YYYY-MM-DD');71;4;10;
6688643;2022;4673;TO_DATE('2014-02-26','YYYY-MM-DD');68;5;7;
2044508;2022;5603;TO_DATE('2014-02-23','YYYY-MM-DD');68;5;5;
2097683;2022;5009;TO_DATE('2014-03-04','YYYY-MM-DD');71;4;4;
4422066;2491;4790;TO_DATE('2014-02-24','YYYY-MM-DD');68;5;8;
9147157;2491;5059;TO_DATE('2014-02-26','YYYY-MM-DD');71;4;6;
478488;2491;4970;TO_DATE('2014-03-09','YYYY-MM-DD');72;8;3;
9701535;2491;5639;TO_DATE('2014-02-23','YYYY-MM-DD');68;5;2;
3502341;2491;5763;TO_DATE('2014-03-02','YYYY-MM-DD');68;5;5;
7734833;2491;5377;TO_DATE('2014-03-08','YYYY-MM-DD');71;4;2;
4925004;4430;5416;TO_DATE('2013-05-13','YYYY-MM-DD');23;17;3;
5903722;4430;6033;TO_DATE('2013-05-11','YYYY-MM-DD');23;17;7;
3370727;4430;5157;TO_DATE('2013-05-15','YYYY-MM-DD');23;17;4;
8689540;1481;6043;TO_DATE('2013-07-05','YYYY-MM-DD');25;13;7;
7275420;1481;5192;TO_DATE('2013-07-02','YYYY-MM-DD');25;13;10;
2218693;1481;4813;TO_DATE('2013-07-07','YYYY-MM-DD');64;22;6;
846523;1481;6318;TO_DATE('2013-07-06','YYYY-MM-DD');64;22;7;
9761590;3547;5222;TO_DATE('2013-09-06','YYYY-MM-DD');43;12;4;
1895449;3547;6386;TO_DATE('2013-09-06','YYYY-MM-DD');43;12;6;
8092266;4190;6466;TO_DATE('2014-02-16','YYYY-MM-DD');63;15;4;
491578;4190;6125;TO_DATE('2014-02-17','YYYY-MM-DD');63;15;1;
5635716;4190;6213;TO_DATE('2014-02-17','YYYY-MM-DD');64;11;4;
8078990;1332;5541;TO_DATE('2014-03-06','YYYY-MM-DD');10;13;8;
423967;1332;6372;TO_DATE('2014-02-28','YYYY-MM-DD');10;13;8;
239016;633;5264;TO_DATE('2013-05-01','YYYY-MM-DD');70;23;8;
7030617;633;6185;TO_DATE('2013-05-07','YYYY-MM-DD');70;23;2;
1513488;83;5760;TO_DATE('2013-08-08','YYYY-MM-DD');53;22;1;
715581;83;4648;TO_DATE('2013-08-15','YYYY-MM-DD');53;22;6;
8820378;2811;6181;TO_DATE('2014-04-06','YYYY-MM-DD');39;20;4;
3015598;2811;5063;TO_DATE('2014-04-13','YYYY-MM-DD');39;20;2;
877041;258;4878;TO_DATE('2013-08-03','YYYY-MM-DD');34;14;5;
4494616;258;4857;TO_DATE('2013-08-07','YYYY-MM-DD');44;30;8;
3084302;1142;6056;TO_DATE('2014-01-29','YYYY-MM-DD');13;2;7;
7916669;1142;4973;TO_DATE('2014-01-31','YYYY-MM-DD');13;2;3;
7276739;4076;5739;TO_DATE('2014-01-24','YYYY-MM-DD');13;2;8;
311042;21;5537;TO_DATE('2013-11-02','YYYY-MM-DD');69;8;9;
4716466;156;5764;TO_DATE('2014-02-14','YYYY-MM-DD');70;9;4;
7068753;156;5394;TO_DATE('2014-02-21','YYYY-MM-DD');62;9;10;
2203718;156;5743;TO_DATE('2014-02-17','YYYY-MM-DD');47;6;10;
4227773;156;6379;TO_DATE('2014-02-23','YYYY-MM-DD');62;9;9;
2533286;1501;4849;TO_DATE('2014-02-16','YYYY-MM-DD');47;6;8;
6381960;1501;4940;TO_DATE('2014-02-26','YYYY-MM-DD');47;6;5;
911071;1238;6232;TO_DATE('2013-10-16','YYYY-MM-DD');4;26;4;
2367525;1238;5881;TO_DATE('2013-10-05','YYYY-MM-DD');47;22;3;
9340348;1238;5858;TO_DATE('2013-10-13','YYYY-MM-DD');4;26;7;
718850;1238;4892;TO_DATE('2013-10-11','YYYY-MM-DD');47;22;6;
2900535;1238;6142;TO_DATE('2013-10-10','YYYY-MM-DD');15;11;4;
5901576;1238;4533;TO_DATE('2013-10-08','YYYY-MM-DD');4;26;6;
458835;1238;5091;TO_DATE('2013-10-15','YYYY-MM-DD');15;11;8;
6343760;3573;4609;TO_DATE('2014-02-20','YYYY-MM-DD');62;16;2;
5120905;3573;4529;TO_DATE('2014-02-17','YYYY-MM-DD');62;16;10;
9410140;3573;6364;TO_DATE('2014-02-24','YYYY-MM-DD');60;18;1;
6495926;3573;4853;TO_DATE('2014-02-16','YYYY-MM-DD');60;18;2;
1825675;3573;6152;TO_DATE('2014-02-18','YYYY-MM-DD');60;18;2;
8815057;3573;6479;TO_DATE('2014-02-23','YYYY-MM-DD');62;16;2;
8469152;3698;5519;TO_DATE('2014-02-01','YYYY-MM-DD');72;2;7;
5572265;2392;5805;TO_DATE('2014-02-12','YYYY-MM-DD');43;23;10;
2961549;2392;4607;TO_DATE('2014-02-08','YYYY-MM-DD');40;11;2;
6418432;2392;4653;TO_DATE('2014-02-18','YYYY-MM-DD');43;23;7;
3490815;1825;5609;TO_DATE('2014-03-13','YYYY-MM-DD');58;6;4;
5287399;1825;6481;TO_DATE('2014-03-05','YYYY-MM-DD');25;6;5;
6014248;1825;5528;TO_DATE('2014-03-04','YYYY-MM-DD');13;2;4;
8759538;1825;4532;TO_DATE('2014-03-02','YYYY-MM-DD');25;6;1;
8457722;1448;4506;TO_DATE('2014-02-12','YYYY-MM-DD');34;15;4;
1598878;1448;5780;TO_DATE('2014-02-24','YYYY-MM-DD');59;21;3;
7581601;1448;5832;TO_DATE('2014-02-14','YYYY-MM-DD');43;11;6;
1681211;1448;5851;TO_DATE('2014-02-23','YYYY-MM-DD');43;11;3;
9285057;1448;6062;TO_DATE('2014-02-21','YYYY-MM-DD');59;21;4;
2365206;1448;6001;TO_DATE('2014-02-22','YYYY-MM-DD');59;21;8;
3099328;1448;4872;TO_DATE('2014-02-22','YYYY-MM-DD');31;11;9;
1847077;1448;4792;TO_DATE('2014-02-13','YYYY-MM-DD');34;15;6;
6197023;2811;4948;TO_DATE('2013-07-12','YYYY-MM-DD');11;19;9;
5090503;2811;4787;TO_DATE('2013-07-06','YYYY-MM-DD');11;19;1;
6886223;2811;6294;TO_DATE('2013-07-09','YYYY-MM-DD');36;25;5;
1065871;1206;5319;TO_DATE('2013-10-09','YYYY-MM-DD');30;10;10;
1905702;1206;5394;TO_DATE('2013-10-12','YYYY-MM-DD');56;9;3;
1345065;1206;4950;TO_DATE('2013-10-11','YYYY-MM-DD');43;1;2;
4820271;1206;5537;TO_DATE('2013-10-04','YYYY-MM-DD');56;9;2;
5813292;1206;6101;TO_DATE('2013-10-04','YYYY-MM-DD');56;9;8;
7377861;1206;4690;TO_DATE('2013-10-07','YYYY-MM-DD');56;9;10;
7543726;2073;5318;TO_DATE('2014-04-12','YYYY-MM-DD');28;6;10;
5737549;2073;4532;TO_DATE('2014-04-01','YYYY-MM-DD');48;6;6;
7344213;2073;5260;TO_DATE('2014-04-11','YYYY-MM-DD');48;6;10;
7012126;1846;4655;TO_DATE('2014-04-02','YYYY-MM-DD');48;6;4;
5899325;1846;4703;TO_DATE('2014-03-29','YYYY-MM-DD');48;6;3;
6648371;1846;5713;TO_DATE('2014-03-29','YYYY-MM-DD');48;6;4;
3836562;1846;4651;TO_DATE('2014-04-09','YYYY-MM-DD');48;6;8;
8773212;2901;5382;TO_DATE('2014-04-12','YYYY-MM-DD');28;6;2;
9008134;2901;5788;TO_DATE('2014-04-11','YYYY-MM-DD');28;6;6;
9554290;2901;4946;TO_DATE('2014-04-08','YYYY-MM-DD');48;6;2;
7850456;2901;5183;TO_DATE('2014-04-03','YYYY-MM-DD');28;6;8;
4212439;1119;5921;TO_DATE('2014-01-15','YYYY-MM-DD');10;27;6;
6584005;1119;4669;TO_DATE('2014-01-11','YYYY-MM-DD');10;27;6;
5216524;1119;5151;TO_DATE('2014-01-18','YYYY-MM-DD');10;27;7;
9396024;2241;5662;TO_DATE('2013-07-15','YYYY-MM-DD');59;21;10;
9023501;547;5770;TO_DATE('2013-07-12','YYYY-MM-DD');59;21;9;
2428643;547;5197;TO_DATE('2013-07-13','YYYY-MM-DD');56;26;1;
9929642;547;4789;TO_DATE('2013-07-09','YYYY-MM-DD');59;21;3;
182116;547;4956;TO_DATE('2013-07-08','YYYY-MM-DD');59;21;4;
6481111;875;5221;TO_DATE('2014-02-25','YYYY-MM-DD');53;8;5;
4374480;3975;4841;TO_DATE('2013-10-15','YYYY-MM-DD');63;20;10;
6989186;296;4525;TO_DATE('2013-10-24','YYYY-MM-DD');63;20;7;
868661;2163;6486;TO_DATE('2013-09-30','YYYY-MM-DD');25;6;10;
1793347;2163;6211;TO_DATE('2013-09-25','YYYY-MM-DD');25;6;10;
1835145;2163;5812;TO_DATE('2013-10-03','YYYY-MM-DD');42;3;6;
5230732;1702;5233;TO_DATE('2014-03-02','YYYY-MM-DD');17;5;2;
9955011;1702;4758;TO_DATE('2014-03-09','YYYY-MM-DD');17;5;6;
8847601;1702;5088;TO_DATE('2014-03-12','YYYY-MM-DD');17;5;7;
9942485;1702;4547;TO_DATE('2014-03-14','YYYY-MM-DD');17;5;8;
3782272;2682;5077;TO_DATE('2013-09-28','YYYY-MM-DD');68;1;3;
5946374;2682;6366;TO_DATE('2013-10-09','YYYY-MM-DD');72;7;10;
1902576;316;4903;TO_DATE('2013-07-18','YYYY-MM-DD');45;18;2;
2952967;3877;5687;TO_DATE('2014-02-02','YYYY-MM-DD');55;13;10;
3610814;3877;5364;TO_DATE('2014-01-28','YYYY-MM-DD');65;13;8;
8726465;3877;4865;TO_DATE('2014-01-31','YYYY-MM-DD');56;25;7;
1778624;528;5490;TO_DATE('2013-07-02','YYYY-MM-DD');28;10;4;
8607115;528;5578;TO_DATE('2013-07-10','YYYY-MM-DD');34;4;4;
173028;528;5764;TO_DATE('2013-07-06','YYYY-MM-DD');28;10;10;
4315690;528;6013;TO_DATE('2013-07-07','YYYY-MM-DD');30;7;6;
9034346;528;6180;TO_DATE('2013-07-03','YYYY-MM-DD');30;7;2;
233677;528;4936;TO_DATE('2013-07-02','YYYY-MM-DD');30;7;10;
4058533;528;5583;TO_DATE('2013-07-12','YYYY-MM-DD');28;10;8;
689719;58;5278;TO_DATE('2013-12-17','YYYY-MM-DD');39;1;7;
4087851;3875;6044;TO_DATE('2014-02-06','YYYY-MM-DD');50;17;4;
3045486;3875;4887;TO_DATE('2014-02-11','YYYY-MM-DD');49;20;1;
7674476;3875;5801;TO_DATE('2014-02-06','YYYY-MM-DD');30;18;7;
5252666;3875;5323;TO_DATE('2014-01-28','YYYY-MM-DD');11;28;1;
798889;3875;5845;TO_DATE('2014-01-30','YYYY-MM-DD');50;17;8;
4067982;3875;6469;TO_DATE('2014-02-04','YYYY-MM-DD');7;25;6;
4221052;3875;6402;TO_DATE('2014-02-10','YYYY-MM-DD');11;28;4;
9463657;3875;6469;TO_DATE('2014-01-31','YYYY-MM-DD');11;28;2;
1757613;2609;4593;TO_DATE('2013-05-06','YYYY-MM-DD');71;17;8;
1375867;3088;4554;TO_DATE('2013-12-31','YYYY-MM-DD');59;21;10;
9229996;3088;5346;TO_DATE('2013-12-29','YYYY-MM-DD');59;21;9;
2590214;3088;5136;TO_DATE('2014-01-04','YYYY-MM-DD');59;21;7;
1774791;3088;6287;TO_DATE('2013-12-29','YYYY-MM-DD');64;24;9;
2115763;2085;5188;TO_DATE('2014-04-29','YYYY-MM-DD');22;4;4;
9905275;2085;5182;TO_DATE('2014-04-16','YYYY-MM-DD');42;9;3;
4321498;2085;6300;TO_DATE('2014-04-16','YYYY-MM-DD');42;9;9;
7395047;2731;5145;TO_DATE('2014-04-30','YYYY-MM-DD');22;4;6;
4846995;2731;6343;TO_DATE('2014-04-28','YYYY-MM-DD');22;4;5;
8800461;2731;6065;TO_DATE('2014-04-22','YYYY-MM-DD');42;9;6;
3589064;3536;5302;TO_DATE('2014-04-04','YYYY-MM-DD');8;7;6;
8367131;1604;5558;TO_DATE('2013-10-26','YYYY-MM-DD');49;13;6;
787319;1604;5336;TO_DATE('2013-11-05','YYYY-MM-DD');7;26;1;
8169985;1604;5646;TO_DATE('2013-11-01','YYYY-MM-DD');3;14;5;
7424792;1604;4637;TO_DATE('2013-10-25','YYYY-MM-DD');61;28;5;
2323709;1604;6264;TO_DATE('2013-10-24','YYYY-MM-DD');49;13;9;
2376904;3661;5172;TO_DATE('2013-07-07','YYYY-MM-DD');27;19;2;
3268586;3661;6355;TO_DATE('2013-07-11','YYYY-MM-DD');23;14;8;
1900247;3661;4753;TO_DATE('2013-07-06','YYYY-MM-DD');27;19;9;
8372576;3661;6031;TO_DATE('2013-06-30','YYYY-MM-DD');12;14;5;
2302631;3661;6284;TO_DATE('2013-07-04','YYYY-MM-DD');23;14;7;
5487505;3661;5341;TO_DATE('2013-07-05','YYYY-MM-DD');4;23;2;
5603722;3661;5775;TO_DATE('2013-06-27','YYYY-MM-DD');39;16;3;
4581595;3661;5730;TO_DATE('2013-07-02','YYYY-MM-DD');12;14;8;
546742;3661;5133;TO_DATE('2013-06-28','YYYY-MM-DD');23;14;1;
1384162;1624;5841;TO_DATE('2014-03-03','YYYY-MM-DD');26;21;9;
8082365;1624;5154;TO_DATE('2014-02-18','YYYY-MM-DD');26;21;4;
6620605;1624;5141;TO_DATE('2014-02-19','YYYY-MM-DD');3;17;7;
3977203;1624;5413;TO_DATE('2014-02-19','YYYY-MM-DD');3;17;2;
7224090;1624;4841;TO_DATE('2014-02-24','YYYY-MM-DD');19;17;4;
3502775;1624;4657;TO_DATE('2014-02-21','YYYY-MM-DD');3;17;7;
2209747;1624;5929;TO_DATE('2014-02-25','YYYY-MM-DD');26;21;10;
3546142;1624;5641;TO_DATE('2014-03-03','YYYY-MM-DD');19;17;5;
6155152;1501;6178;TO_DATE('2014-03-03','YYYY-MM-DD');44;16;1;
8341793;513;5362;TO_DATE('2013-12-15','YYYY-MM-DD');65;23;4;
11825;513;4639;TO_DATE('2013-12-18','YYYY-MM-DD');56;25;5;
4896953;513;5828;TO_DATE('2013-12-19','YYYY-MM-DD');56;25;3;
6242756;513;4516;TO_DATE('2013-12-19','YYYY-MM-DD');65;23;1;
8056412;3810;4519;TO_DATE('2013-12-09','YYYY-MM-DD');56;25;10;
5339723;3810;5014;TO_DATE('2013-12-08','YYYY-MM-DD');56;25;7;
9578688;3810;5797;TO_DATE('2013-12-16','YYYY-MM-DD');65;23;1;
7373027;3810;5017;TO_DATE('2013-12-22','YYYY-MM-DD');65;23;4;
8418504;4207;5864;TO_DATE('2013-07-31','YYYY-MM-DD');72;10;6;
1361740;4207;4996;TO_DATE('2013-07-24','YYYY-MM-DD');71;2;7;
1186059;4207;5979;TO_DATE('2013-07-27','YYYY-MM-DD');72;10;6;
5603960;4207;5302;TO_DATE('2013-07-18','YYYY-MM-DD');71;2;10;
8972152;1617;6443;TO_DATE('2014-02-08','YYYY-MM-DD');62;18;5;
6160687;3375;4912;TO_DATE('2014-02-12','YYYY-MM-DD');20;6;4;
2318788;3375;5600;TO_DATE('2014-02-17','YYYY-MM-DD');57;6;7;
8777230;3375;6129;TO_DATE('2014-02-05','YYYY-MM-DD');20;6;9;
9680080;3375;5103;TO_DATE('2014-02-08','YYYY-MM-DD');20;6;7;
509390;3070;5049;TO_DATE('2013-10-18','YYYY-MM-DD');31;17;1;
5342193;1394;4843;TO_DATE('2014-01-16','YYYY-MM-DD');37;17;2;
6991204;1394;5248;TO_DATE('2014-01-19','YYYY-MM-DD');37;17;9;
7253442;548;6024;TO_DATE('2013-08-31','YYYY-MM-DD');14;29;2;
2931727;548;5529;TO_DATE('2013-09-02','YYYY-MM-DD');72;22;5;
9338800;548;5050;TO_DATE('2013-08-23','YYYY-MM-DD');72;22;1;
7722499;2388;5202;TO_DATE('2013-05-02','YYYY-MM-DD');57;18;9;
3099251;2388;6045;TO_DATE('2013-05-13','YYYY-MM-DD');63;12;6;
2462002;2388;5617;TO_DATE('2013-05-01','YYYY-MM-DD');63;12;10;
7140067;2388;4592;TO_DATE('2013-05-02','YYYY-MM-DD');57;18;3;
3848071;1833;6187;TO_DATE('2013-05-09','YYYY-MM-DD');63;12;6;
7652859;1833;4934;TO_DATE('2013-05-04','YYYY-MM-DD');57;18;5;
1409046;1833;5680;TO_DATE('2013-04-30','YYYY-MM-DD');63;12;6;
5227975;1833;5016;TO_DATE('2013-05-07','YYYY-MM-DD');63;12;8;
1984387;4115;5183;TO_DATE('2013-09-15','YYYY-MM-DD');57;9;5;
9567127;4115;5056;TO_DATE('2013-09-14','YYYY-MM-DD');47;3;10;
3569791;4115;5639;TO_DATE('2013-09-09','YYYY-MM-DD');57;9;5;
2954509;4115;5918;TO_DATE('2013-09-16','YYYY-MM-DD');57;9;9;
3503732;4115;5763;TO_DATE('2013-09-12','YYYY-MM-DD');60;10;10;
