COD_PEDIDO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD_SOLICITADA;CANTIDAD_ENTREGADA
796231;12;17;8;0;
796231;13;14;9;0;
796231;33;12;8;0;
1272564;26;26;12;0;
1272564;27;28;8;0;
1272564;47;28;8;0;
6378465;21;3;1;0;
6378465;29;7;18;0;
6378465;41;5;2;0;
6378465;67;10;16;0;
4660041;11;2;4;0;
4660041;31;8;11;0;
4660041;63;8;20;0;
4197013;7;25;3;0;
4197013;10;23;18;0;
4197013;26;24;1;0;
7570855;16;22;7;0;
7570855;37;14;16;0;
7570855;53;11;15;0;
2383463;69;13;20;11;
2383463;71;19;13;1;
2117725;25;10;15;0;
2117725;68;4;9;0;
3266634;5;13;10;4;
3266634;19;25;3;1;
3266634;31;16;13;3;
1982388;8;23;2;0;
1982388;45;11;7;0;
382920;51;15;14;0;
382920;57;22;20;0;
382920;61;22;8;0;
382920;65;25;4;0;
6578544;72;10;10;0;
2110951;5;20;13;2;
2110951;52;17;3;3;
2110951;64;19;3;1;
9224959;21;10;1;0;
9224959;25;3;12;0;
9224959;28;1;8;0;
9224959;38;8;10;0;
9224959;70;2;2;0;
3739187;3;8;10;6;
3739187;25;6;4;4;
3739187;34;6;5;3;
3739187;58;6;6;6;
3739187;67;10;12;6;
9220925;1;5;12;0;
9220925;5;5;12;0;
9220925;47;7;3;0;
9220925;59;2;14;0;
6979039;32;27;3;3;
2754647;53;27;1;0;
2754647;59;14;17;0;
1286085;33;6;5;4;
5537972;55;12;6;2;
5537972;56;19;19;8;
3004151;36;10;11;0;
3004151;59;2;3;0;
3004151;70;6;7;0;
3004151;72;10;3;0;
5586647;68;10;19;0;
5586647;69;1;1;0;
5586647;70;1;3;0;
5586647;71;7;2;0;
52001;55;11;13;9;
52001;59;25;7;7;
9924323;3;24;13;13;
9924323;16;24;12;12;
9924323;40;13;13;13;
9924323;46;24;2;2;
427480;52;14;7;0;
427480;60;21;16;0;
1494794;11;16;18;0;
1494794;15;23;6;0;
1494794;43;17;19;0;
1494794;53;12;16;0;
8788787;68;5;1;1;
8788787;72;5;12;12;
4391711;17;28;8;8;
4391711;28;24;9;9;
5397659;22;13;9;0;
5397659;39;13;3;0;
5397659;58;30;1;0;
8431060;5;28;13;0;
8431060;22;13;19;0;
8997908;58;18;12;12;
6323140;36;14;11;10;
6323140;37;14;1;1;
6323140;41;18;12;3;
2007255;67;5;15;0;
2007255;69;1;12;0;
2007255;71;10;1;0;
1983571;5;11;17;0;
1983571;14;18;14;0;
1983571;45;16;15;0;
1983571;47;15;9;0;
1983571;49;21;12;0;
6292787;12;11;10;0;
6292787;40;24;19;0;
6292787;53;26;2;0;
6604130;1;16;18;0;
6604130;52;13;4;0;
6604130;59;21;4;0;
6604130;67;15;18;0;
1310849;69;9;15;15;
1310849;71;6;14;14;
1678589;11;4;14;0;
1678589;38;4;11;0;
1678589;64;2;18;0;
1678589;69;7;4;0;
4912684;14;25;12;0;
4912684;38;26;9;0;
8258234;70;8;11;0;
7562255;3;27;6;6;
7562255;13;11;11;11;
7562255;62;27;7;7;
7562255;66;29;6;6;
5610892;6;27;7;0;
5610892;22;25;6;0;
5610892;23;19;15;0;
5610892;26;21;7;0;
5610892;31;20;10;0;
9988619;14;26;7;0;
9988619;39;15;2;0;
9988619;50;22;7;0;
9988619;65;13;20;0;
2682773;30;20;1;0;
2682773;36;30;13;0;
779923;51;26;14;0;
779923;60;23;9;0;
779923;64;15;17;0;
779923;65;19;5;0;
779923;66;11;3;0;
6957671;6;20;7;0;
6957671;23;26;17;0;
6957671;45;11;6;0;
8035737;68;2;15;15;
5616789;60;18;8;0;
5616789;62;14;2;0;
5616789;64;26;8;0;
5616789;66;23;1;0;
2829290;30;29;20;0;
2829290;35;15;19;0;
2829290;36;30;16;0;
2829290;53;23;19;0;
4641699;19;26;20;0;
4641699;26;23;6;0;
4641699;35;29;4;0;
7984370;41;9;11;11;
7984370;71;9;19;19;
2693073;36;18;14;0;
2693073;38;20;16;0;
6922291;39;23;9;6;
6922291;65;30;20;4;
6922291;70;15;18;18;
46857;11;30;11;0;
46857;30;12;17;0;
8033310;1;18;4;0;
8033310;18;13;11;0;
8033310;35;21;16;0;
8033310;39;25;6;0;
8989930;12;5;3;0;
8989930;29;7;12;0;
8989930;36;8;16;0;
8989930;41;2;15;0;
2285608;2;18;19;19;
2285608;10;28;3;3;
2285608;34;12;12;12;
7979600;53;22;10;10;
7979600;55;18;4;4;
7979600;61;22;17;17;
7979600;64;22;10;10;
4873474;65;10;20;0;
4873474;69;3;11;0;
2798199;2;22;7;7;
2798199;14;26;18;13;
7144845;50;18;8;8;
2374226;13;18;10;0;
2374226;65;25;10;0;
2374226;68;18;4;0;
9318083;39;22;6;6;
7243620;56;12;18;7;
7243620;64;26;4;3;
5191768;8;30;9;8;
5191768;52;28;17;1;
6873764;71;5;20;0;
1002420;7;4;15;0;
1002420;9;1;6;0;
1002420;39;7;5;0;
9372134;49;22;7;7;
9372134;52;23;12;12;
9372134;54;17;19;19;
9372134;69;26;10;10;
8142291;28;24;8;0;
2130801;3;18;20;20;
2130801;9;18;1;1;
2130801;35;21;12;12;
2130801;51;30;17;17;
4526454;51;14;5;5;
4526454;58;27;5;5;
4526454;64;27;8;8;
8997099;32;5;11;0;
8997099;46;4;9;0;
2902538;72;6;5;0;
8919918;19;5;19;19;
8919918;51;5;1;1;
8919918;63;10;4;4;
8919918;67;2;5;5;
406932;11;16;7;3;
406932;13;24;12;6;
406932;19;13;6;6;
406932;36;30;12;10;
3754407;5;24;17;0;
3754407;56;26;4;0;
3754407;69;26;6;0;
6042383;15;15;4;0;
6042383;50;18;4;0;
6042383;60;18;20;0;
6042383;66;14;7;0;
6042383;70;11;3;0;
6084021;33;29;16;0;
8466604;9;27;20;19;
8466604;21;23;2;1;
8466604;39;20;6;6;
8466604;41;19;8;6;
8466604;66;20;19;5;
364357;23;24;15;0;
364357;35;28;9;0;
6988925;56;19;2;0;
5583196;8;3;7;0;
5583196;22;8;7;0;
5583196;52;7;8;0;
5583196;62;4;3;0;
3552385;20;17;16;14;
3552385;32;11;7;5;
885005;10;24;4;3;
885005;28;13;5;4;
885005;30;24;4;2;
885005;35;20;11;8;
885005;63;12;3;3;
5933276;58;17;20;20;
586307;57;25;17;0;
586307;61;21;6;0;
574303;53;11;2;0;
574303;60;26;13;0;
6140596;11;5;4;0;
6140596;23;9;14;0;
6140596;26;2;6;0;
6140596;37;10;13;0;
6140596;58;4;7;0;
7934764;3;9;2;0;
7934764;52;9;19;0;
7934764;58;7;11;0;
7934764;70;6;1;0;
7934764;72;8;2;0;
4672077;14;14;3;0;
4672077;20;16;11;0;
200278;14;30;11;0;
200278;17;26;5;0;
200278;20;15;18;0;
200278;27;20;3;0;
200278;34;24;14;0;
585137;28;8;14;0;
2857552;51;20;8;8;
6894382;12;25;7;0;
8166822;71;5;20;15;
8166822;72;3;10;6;
2008838;4;24;12;0;
2008838;21;27;3;0;
2008838;36;29;2;0;
2008838;43;12;5;0;
2008838;54;14;2;0;
7415542;27;15;1;0;
7415542;39;18;13;0;
4955825;54;11;12;0;
4955825;56;11;3;0;
6831892;6;13;6;0;
6831892;31;30;8;0;
6831892;39;19;18;0;
6831892;45;24;20;0;
6831892;56;30;5;0;
8116351;13;30;2;0;
8116351;15;29;14;0;
8116351;22;13;10;0;
8116351;39;17;11;0;
8116351;49;11;19;0;
9481965;67;4;11;0;
9481965;72;10;15;0;
6611249;14;26;19;0;
9436964;67;10;3;0;
9436964;68;1;17;0;
9436964;69;2;14;0;
9436964;70;8;10;0;
8402504;25;13;11;0;
8402504;46;24;1;0;
9037636;17;19;10;0;
9037636;39;17;10;0;
3639394;51;18;4;4;
3639394;53;13;12;12;
3639394;59;27;9;9;
3639394;64;29;12;12;
306572;43;16;15;0;
4899230;31;18;14;0;
4899230;37;24;13;0;
4899230;44;18;6;0;
4899230;48;30;5;0;
7726258;27;30;1;0;
7308690;4;1;13;13;
7017912;34;30;14;14;
7017912;36;29;13;13;
7017912;44;16;2;2;
7017912;65;12;3;3;
7994147;26;2;17;3;
7994147;35;5;2;1;
7994147;40;1;5;3;
7994147;42;6;11;2;
7994147;44;1;19;4;
3648241;6;14;19;0;
3648241;36;20;11;0;
3648241;50;18;5;0;
3648241;51;18;3;0;
3648241;72;30;12;0;
2416003;67;1;8;0;
2416003;69;4;1;0;
2566122;41;21;16;6;
2566122;57;18;14;12;
2566122;59;15;17;8;
292159;18;16;18;0;
292159;44;16;20;0;
292159;58;19;9;0;
292159;63;18;6;0;
292159;70;15;7;0;
6732935;70;1;13;13;
6732935;72;1;3;3;
831439;40;29;17;17;
4257869;10;17;7;1;
4257869;15;22;9;3;
4257869;23;21;6;4;
4257869;60;24;19;8;
6004879;12;20;4;0;
6004879;17;30;17;0;
6004879;22;26;7;0;
6004879;37;27;7;0;
3372910;67;1;13;13;
3372910;69;6;11;11;
3372910;72;10;1;1;
1793133;1;27;20;20;
1793133;18;18;7;7;
1793133;31;16;11;11;
1793133;44;17;4;4;
1793133;49;15;2;2;
2199326;2;27;5;0;
2199326;42;14;3;0;
8931095;53;20;14;0;
8931095;59;24;9;0;
8931095;62;18;2;0;
8931095;63;20;9;0;
8931095;65;27;8;0;
3699935;34;2;19;19;
3699935;57;4;8;8;
3699935;60;9;9;9;
3699935;61;1;19;19;
1682167;69;7;10;0;
1682167;70;1;15;0;
1682167;71;2;7;0;
5531161;52;15;12;0;
5531161;56;13;4;0;
1956311;69;5;3;0;
1956311;71;10;1;0;
6617810;3;14;9;0;
6617810;23;29;1;0;
6617810;26;19;20;0;
6617810;50;13;4;0;
6532708;51;27;13;0;
6532708;52;17;6;0;
6532708;58;27;8;0;
6532708;64;30;14;0;
1179709;68;9;4;4;
1183953;14;29;12;0;
1548015;57;16;16;16;
8981116;51;21;20;3;
8981116;53;24;20;3;
8981116;56;30;12;10;
8981116;57;28;5;4;
4170459;2;13;10;10;
4170459;21;26;12;9;
4170459;30;29;8;8;
4170459;35;29;19;1;
4170459;45;27;14;7;
2329241;51;17;16;16;
2329241;56;25;15;15;
2329241;64;21;3;3;
2329241;66;17;13;13;
9415328;25;29;20;0;
9415328;27;21;9;0;
9415328;50;21;19;0;
9415328;57;16;18;0;
3203411;45;3;15;15;
3203411;62;6;2;2;
3203411;69;2;4;4;
4686415;60;29;19;1;
1817458;17;24;18;0;
6984795;69;1;19;0;
7741360;67;7;15;0;
7741360;70;4;20;0;
7741360;72;2;5;0;
7262559;26;24;5;0;
7262559;63;19;15;0;
7262559;67;15;18;0;
1681611;14;19;16;16;
1681611;38;30;13;13;
9768038;1;29;4;4;
9768038;46;29;18;18;
3667067;22;16;14;0;
603392;9;3;19;0;
7202390;15;23;20;0;
7202390;27;14;9;0;
7202390;63;19;6;0;
4450538;68;5;3;3;
4450538;69;1;8;8;
4450538;70;7;17;17;
1191631;35;10;3;3;
8223579;48;5;11;5;
8223579;49;9;4;4;
8223579;66;9;18;14;
5363116;42;13;12;0;
928073;28;24;15;6;
928073;64;29;4;3;
928073;70;29;17;16;
6917310;57;26;11;0;
8157218;6;18;12;0;
8157218;45;26;1;0;
9925416;10;28;13;12;
9925416;28;11;10;4;
9925416;41;24;17;2;
5394725;71;5;14;0;
8731464;67;3;15;0;
8731464;69;7;2;0;
8731464;70;5;9;0;
147063;46;27;4;4;
8967223;13;28;11;0;
8967223;35;13;12;0;
8967223;51;17;16;0;
8967223;58;11;4;0;
9147144;54;12;16;16;
9147144;65;23;2;2;
9165284;29;14;19;0;
9165284;32;14;13;0;
5089814;67;1;4;0;
8721765;16;20;7;3;
8721765;20;12;7;5;
8721765;30;11;3;2;
8721765;41;23;13;4;
8721765;42;13;6;1;
7531825;67;4;15;0;
2992640;3;11;2;2;
2992640;33;25;7;7;
2992640;34;23;2;2;
2992640;44;11;16;16;
1383128;5;16;4;4;
1383128;17;19;16;15;
1383128;32;12;10;1;
1383128;35;19;10;4;
1383128;65;19;9;7;
6620657;68;3;16;16;
6620657;69;10;15;15;
6620657;70;10;16;16;
4336003;71;1;8;0;
8402183;56;20;20;20;
8402183;60;13;1;1;
8402183;66;18;14;14;
1044203;13;21;14;14;
1044203;20;22;12;12;
1044203;31;14;2;2;
1044203;55;17;6;6;
1044203;57;20;9;9;
7787260;71;2;13;12;
5925692;62;22;3;0;
3706110;51;24;11;0;
3706110;54;15;17;0;
3706110;63;20;14;0;
5980025;58;11;7;0;
5980025;61;21;8;0;
5980025;64;12;6;0;
5980025;66;30;3;0;
2969928;4;2;3;0;
2969928;12;2;19;0;
2969928;46;5;13;0;
5043476;67;5;7;7;
5043476;68;1;17;17;
5043476;69;3;6;6;
5043476;70;6;10;10;
5043476;72;3;8;8;
5991508;23;24;11;0;
5991508;40;13;17;0;
5991508;47;16;6;0;
5991508;68;28;13;0;
5632979;3;12;17;0;
5632979;20;16;9;0;
5632979;49;14;10;0;
7226178;55;23;17;0;
7226178;60;26;3;0;
7226178;62;15;18;0;
7226178;63;24;15;0;
1919348;72;10;18;9;
8565079;54;30;3;0;
8565079;56;26;1;0;
8565079;59;28;4;0;
8565079;66;16;18;0;
9668984;47;26;18;18;
9668984;49;26;20;20;
9668984;60;23;13;13;
9668984;62;22;12;12;
2289026;25;26;15;15;
6135590;3;11;14;14;
6135590;5;22;13;13;
6135590;24;12;13;13;
6135590;29;26;4;4;
6135590;33;29;7;7;
9311989;7;13;2;0;
9311989;26;14;4;0;
9311989;37;11;18;0;
9311989;53;15;5;0;
9311989;55;27;4;0;
7215803;55;27;12;12;
7215803;58;14;4;4;
7215803;65;27;17;17;
9287;43;21;3;3;
9287;45;26;5;5;
8988523;14;26;6;6;
8988523;17;29;19;19;
8988523;49;26;6;6;
4803565;54;8;8;7;
4803565;56;8;15;6;
7059199;50;5;3;3;
6060250;67;4;1;0;
3231115;54;9;6;0;
3231115;68;6;6;0;
5747486;9;7;9;0;
5747486;45;8;2;0;
6797624;68;5;20;0;
6884527;16;21;20;0;
6884527;21;15;11;0;
9820015;12;5;8;0;
9820015;30;8;17;0;
9820015;41;5;20;0;
968058;5;22;12;0;
968058;12;26;19;0;
968058;28;28;17;0;
7887020;15;20;11;4;
7887020;20;27;14;6;
7887020;23;16;20;5;
7887020;38;18;16;3;
7202858;17;13;14;0;
7202858;44;16;5;0;
7202858;52;19;17;0;
7202858;60;25;12;0;
7202858;68;28;15;0;
5899250;68;26;1;0;
5899250;70;29;19;0;
407367;44;29;6;6;
2970087;26;10;17;17;
2970087;43;9;5;5;
2537098;51;22;2;0;
2537098;53;13;5;0;
2537098;62;21;17;0;
2158580;23;19;20;17;
2158580;32;14;11;4;
2158580;69;14;18;7;
2158580;71;13;20;4;
9414917;1;19;9;0;
7334794;42;24;5;5;
3738982;67;9;8;0;
3738982;68;9;17;0;
3738982;69;1;20;0;
3738982;70;8;2;0;
3738982;71;5;2;0;
2568899;67;6;7;0;
2568899;68;6;13;0;
2568899;70;3;1;0;
2568899;72;4;18;0;
3666666;1;11;12;3;
3666666;2;26;16;5;
3666666;17;12;2;2;
6517604;16;16;18;0;
6517604;38;30;2;0;
8429006;1;27;18;14;
8429006;28;30;3;2;
8429006;33;26;3;1;
8429006;41;18;11;6;
8429006;42;16;16;10;
6666387;27;22;3;0;
6666387;72;28;5;0;
7291735;23;29;17;17;
7291735;24;22;3;3;
7291735;26;30;3;3;
7291735;32;21;10;10;
5683385;26;30;17;0;
5683385;29;25;8;0;
5683385;39;28;18;0;
5683385;46;29;2;0;
5683385;56;27;3;0;
9630309;21;4;14;10;
9630309;26;1;5;1;
9630309;44;3;13;6;
9630309;50;9;11;3;
8572747;5;27;4;1;
8572747;21;12;4;4;
8572747;33;18;3;2;
8572747;35;16;7;1;
8572747;59;19;16;16;
5465208;4;28;5;0;
5465208;47;23;8;0;
5465208;49;13;15;0;
5386235;67;2;2;2;
5386235;70;10;14;14;
5386235;71;1;9;9;
9763966;30;20;20;20;
9763966;69;22;19;19;
8769039;2;19;9;9;
8769039;19;22;10;10;
8769039;20;19;3;3;
8769039;26;27;12;12;
8769039;33;16;8;8;
1540766;16;25;16;0;
1540766;31;27;5;0;
1540766;38;12;1;0;
1540766;65;20;15;0;
5485758;4;14;15;0;
5485758;17;18;6;0;
5485758;21;28;1;0;
7176074;1;15;12;0;
7176074;42;17;2;0;
7176074;47;30;19;0;
5220660;3;9;11;11;
5220660;71;7;16;16;
8346051;70;4;12;0;
8346051;72;4;8;0;
7330950;51;16;18;18;
7330950;53;25;17;17;
7330950;57;24;14;14;
9021301;4;18;9;9;
9021301;50;15;14;14;
6422446;52;20;17;0;
6422446;55;26;20;0;
6422446;61;27;9;0;
2037889;8;10;18;0;
2037889;70;4;9;0;
8342083;70;27;2;0;
3004242;67;4;6;6;
8605595;13;11;2;0;
8605595;46;28;20;0;
610692;56;16;16;7;
610692;57;27;7;3;
610692;63;29;8;6;
6140367;68;9;11;0;
6140367;69;10;6;0;
6140367;71;5;1;0;
8299329;26;21;20;0;
8299329;36;13;1;0;
5200979;52;15;2;0;
5200979;56;12;10;0;
5200979;59;28;11;0;
5200979;64;24;14;0;
875294;68;9;20;0;
875294;71;5;8;0;
875294;72;6;12;0;
8587972;67;1;7;0;
8587972;72;2;5;0;
9048341;15;4;14;11;
9048341;31;1;2;2;
9048341;53;8;20;15;
5872466;48;13;7;6;
5872466;66;18;1;1;
5872466;69;29;11;11;
5872466;70;30;5;5;
3108836;52;28;12;11;
3108836;56;11;15;6;
3108836;61;22;14;6;
3108836;63;18;19;17;
3108836;65;25;14;2;
9458823;58;16;12;0;
9458823;62;27;15;0;
9458823;63;15;4;0;
9458823;65;14;12;0;
8250654;17;14;19;15;
8250654;24;30;20;3;
8250654;55;15;16;2;
8250654;60;28;9;2;
8250654;62;24;12;7;
9250235;33;5;10;10;
9250235;50;9;19;19;
9250235;51;9;17;17;
9250235;65;7;19;19;
4223730;52;16;3;0;
4223730;58;20;9;0;
4223730;62;22;15;0;
9392597;2;22;15;15;
8189582;20;21;18;0;
8189582;32;23;3;0;
8189582;61;29;6;0;
8851338;71;27;8;0;
1436177;16;21;4;0;
1436177;21;12;7;0;
1436177;32;27;13;0;
1436177;38;30;1;0;
1436177;47;12;9;0;
7964333;8;9;16;0;
7077665;68;3;13;0;
7077665;69;5;8;0;
7077665;70;7;9;0;
7077665;71;6;18;0;
5313981;41;30;3;3;
5313981;66;27;8;2;
6462166;14;14;12;10;
6462166;27;12;1;1;
6462166;67;23;2;2;
6462166;71;24;7;3;
498531;27;13;4;4;
498531;48;23;6;6;
498531;51;15;17;17;
498531;57;30;14;14;
498531;58;12;1;1;
8174027;51;17;6;0;
8174027;55;27;5;0;
8174027;59;26;1;0;
8174027;63;29;8;0;
9808122;29;24;14;0;
9808122;36;18;11;0;
9808122;44;29;4;0;
9808122;49;11;8;0;
9808122;65;23;17;0;
8293656;55;12;16;0;
8293656;59;11;7;0;
6059963;61;9;13;10;
1626341;55;27;18;0;
1626341;58;15;3;0;
1626341;62;21;6;0;
1626341;66;18;1;0;
8981473;67;1;17;0;
8981473;68;4;4;0;
2928456;15;21;4;0;
2928456;43;11;20;0;
2928456;49;16;11;0;
9241031;65;17;12;0;
1632788;2;24;9;0;
1632788;26;30;7;0;
1632788;69;13;19;0;
1632788;72;27;16;0;
609295;55;21;4;4;
609295;56;24;12;12;
609295;59;11;17;17;
609295;62;20;15;15;
7025346;10;20;15;0;
7025346;34;16;13;0;
7025346;61;18;19;0;
7025346;68;12;18;0;
7025346;72;15;18;0;
604409;68;10;15;0;
604409;70;6;1;0;
604409;72;1;8;0;
106815;20;15;10;10;
106815;25;13;4;4;
106815;41;29;12;12;
106815;45;23;15;15;
106815;48;14;9;9;
1652139;28;13;11;0;
1652139;32;30;7;0;
1652139;35;23;2;0;
1652139;39;12;15;0;
5994552;40;23;16;0;
978482;12;14;4;0;
978482;49;24;7;0;
8602108;14;25;9;0;
668439;51;14;11;11;
668439;62;16;11;10;
4513102;22;5;14;0;
4513102;38;1;5;0;
4513102;49;1;12;0;
4513102;69;3;11;0;
2314648;6;30;6;6;
2314648;51;13;1;1;
2314648;68;18;2;2;
9366219;5;16;13;0;
9366219;18;28;2;0;
9366219;30;29;17;0;
9366219;31;11;8;0;
9366219;36;24;9;0;
1656228;67;4;9;0;
1656228;68;8;5;0;
1656228;70;5;16;0;
1656228;72;3;20;0;
8202684;8;26;14;0;
8202684;10;11;19;0;
8202684;39;17;8;0;
9292550;69;6;1;1;
9292550;70;10;5;5;
9122520;44;27;10;10;
9122520;54;15;12;12;
9122520;60;17;1;1;
9122520;62;20;10;10;
9122520;71;11;15;15;
7348702;19;12;14;14;
7348702;42;22;8;2;
7348702;45;19;2;2;
4140694;21;25;5;0;
4140694;33;11;2;0;
4140694;43;17;10;0;
5789688;67;1;17;17;
4324377;35;28;20;0;
4324377;45;24;6;0;
4324377;50;20;4;0;
4324377;52;13;11;0;
6650463;54;2;17;17;
6650463;59;4;11;11;
6650463;66;6;5;5;
9074419;67;1;10;0;
9074419;69;7;5;0;
9074419;72;1;7;0;
4277780;4;4;14;14;
4277780;12;10;1;1;
4277780;70;9;9;9;
480670;70;10;15;9;
2416700;63;25;10;0;
4735343;11;1;8;0;
4735343;25;10;2;0;
4735343;48;7;15;0;
4735343;59;5;10;0;
4735343;65;6;13;0;
1263821;5;7;11;0;
1263821;36;8;6;0;
1263821;59;5;11;0;
5929516;56;19;14;0;
5929516;59;20;20;0;
5929516;63;26;8;0;
4303655;28;1;15;15;
4303655;34;6;11;11;
8240448;5;25;20;0;
8240448;16;12;14;0;
8240448;19;18;10;0;
8240448;22;28;2;0;
8240448;27;26;14;0;
4246490;72;1;14;8;
7848482;12;22;20;0;
7848482;21;16;15;0;
7848482;34;17;20;0;
7848482;53;22;8;0;
5900103;3;15;17;14;
5900103;17;24;5;1;
5900103;52;15;15;10;
2643382;13;29;9;0;
2643382;15;20;18;0;
2643382;44;11;14;0;
5509536;15;13;14;13;
5044300;62;21;14;14;
5044300;64;23;13;13;
4351963;2;6;10;0;
4351963;19;10;11;0;
4351963;38;2;12;0;
4351963;45;5;8;0;
4351963;67;1;10;0;
8502553;22;7;18;9;
8502553;34;1;10;9;
8502553;60;10;5;3;
7313137;71;21;7;5;
3544381;24;15;14;14;
8770648;10;23;5;0;
8770648;36;28;6;0;
8770648;47;20;17;0;
7224295;52;14;20;18;
7224295;53;11;4;2;
7224295;66;26;14;7;
5355764;2;16;4;4;
5355764;21;26;7;7;
5355764;26;11;10;10;
5355764;27;30;9;9;
5355764;38;14;20;20;
2716060;1;7;2;0;
2716060;26;6;12;0;
2716060;32;3;12;0;
2716060;54;6;6;0;
815796;67;4;12;0;
2222621;12;19;3;0;
2222621;41;18;13;0;
2222621;42;20;2;0;
2222621;43;14;7;0;
2222621;53;23;15;0;
4206425;51;19;9;0;
4206425;56;24;14;0;
4206425;59;24;12;0;
4206425;64;30;13;0;
5834081;25;15;4;4;
6332734;3;21;16;0;
6332734;11;26;12;0;
6332734;19;21;14;0;
3561936;17;10;19;0;
3561936;42;9;19;0;
1607200;53;23;5;5;
1607200;57;29;15;9;
1607200;64;12;5;1;
1607200;65;30;6;6;
1142152;68;4;12;0;
1142152;70;1;12;0;
5658926;60;29;5;5;
5658926;64;19;15;15;
4864168;12;28;19;0;
4864168;30;29;9;0;
4864168;56;17;20;0;
4864168;68;16;8;0;
6048787;16;5;20;0;
6048787;25;1;3;0;
6048787;53;5;6;0;
4496623;68;7;20;0;
8747182;2;22;14;0;
8747182;4;14;10;0;
8747182;16;12;6;0;
8747182;44;18;4;0;
2041763;19;15;3;3;
2041763;33;22;4;4;
2041763;62;16;14;13;
2041763;69;28;14;1;
7934542;70;5;2;2;
7934542;72;5;1;1;
9237939;68;4;16;0;
9237939;69;7;14;0;
9237939;70;9;17;0;
9237939;72;10;20;0;
8040971;54;22;15;0;
8040971;57;17;4;0;
8040971;58;14;5;0;
6784050;70;8;2;2;
6784050;71;4;3;3;
9214258;51;23;7;0;
9214258;56;21;12;0;
9214258;64;12;17;0;
5591189;8;14;15;7;
5591189;18;24;9;8;
5591189;62;18;12;5;
2980604;54;20;16;0;
2980604;55;17;7;0;
2980604;66;15;18;0;
258710;70;9;1;1;
4501526;53;24;15;15;
4501526;54;22;5;5;
9746105;55;24;4;0;
9746105;59;24;1;0;
9746105;64;20;18;0;
8980560;27;16;1;0;
8980560;35;12;17;0;
8473543;25;20;12;12;
5566198;7;13;5;0;
5566198;13;18;7;0;
5566198;27;21;15;0;
5566198;65;28;8;0;
9232588;6;18;17;0;
9232588;36;23;20;0;
9232588;46;24;2;0;
9232588;56;14;14;0;
7443880;6;30;12;7;
7443880;22;24;9;5;
7443880;51;20;18;2;
7443880;63;22;15;3;
6421657;19;3;15;0;
6421657;32;9;2;0;
6421657;48;9;12;0;
6421657;70;9;1;0;
2740085;68;8;8;5;
5657798;5;23;3;2;
5657798;16;26;3;3;
5657798;23;22;2;2;
5657798;34;12;16;14;
5657798;42;12;13;5;
48703;68;5;10;0;
48703;69;3;5;0;
48703;70;3;14;0;
48703;72;4;5;0;
4773271;68;5;13;0;
4773271;72;8;9;0;
583184;3;6;5;5;
583184;16;4;16;16;
583184;35;4;9;9;
583184;57;7;10;10;
3381944;16;19;2;0;
3381944;42;30;19;0;
3381944;44;24;11;0;
7469026;8;20;5;0;
7469026;37;15;20;0;
7469026;41;22;17;0;
7469026;59;13;7;0;
7469026;63;19;11;0;
3276932;24;2;3;0;
3276932;26;3;2;0;
3276932;31;10;3;0;
3276932;46;2;5;0;
3276932;54;5;20;0;
2933360;38;28;11;11;
2933360;42;30;11;11;
5825691;15;17;3;0;
5825691;31;25;19;0;
5825691;43;14;2;0;
4661318;41;11;4;0;
5919725;24;30;20;13;
5266591;51;19;1;0;
5266591;59;21;1;0;
5266591;61;17;14;0;
5266591;66;28;19;0;
9286850;2;9;5;0;
9286850;55;10;4;0;
9822371;6;28;3;3;
9822371;7;28;2;1;
9822371;45;11;5;2;
9127278;35;22;6;6;
4916153;18;5;20;0;
4916153;50;2;16;0;
3309043;4;10;12;0;
3309043;15;9;8;0;
3309043;27;1;19;0;
3309043;45;9;4;0;
3309043;63;3;8;0;
3994459;4;24;3;3;
3994459;21;19;12;12;
3994459;28;17;9;9;
3994459;32;29;9;9;
7933065;2;22;12;12;
7933065;20;17;19;19;
7933065;26;25;15;15;
3414372;6;25;10;0;
3414372;8;15;4;0;
3414372;10;19;3;0;
3414372;23;14;3;0;
3414372;39;16;2;0;
4416784;6;16;14;14;
4416784;11;29;9;9;
4416784;23;28;19;19;
4416784;38;16;9;9;
4416784;40;17;7;7;
4233763;14;17;4;4;
4233763;20;21;17;3;
4233763;33;21;7;2;
4233763;35;13;3;2;
3422862;7;25;5;4;
3422862;14;24;4;3;
3422862;32;25;16;13;
3422862;57;26;16;10;
8652636;27;28;5;5;
8652636;35;18;11;11;
8652636;63;24;8;8;
7319092;57;13;12;12;
7319092;58;13;11;11;
7319092;61;12;8;8;
752498;2;14;4;4;
752498;7;23;1;1;
752498;47;27;15;15;
752498;56;19;2;2;
7711224;69;8;8;8;
7711224;70;6;3;3;
7711224;71;6;6;6;
1480749;18;16;10;10;
1480749;22;19;6;6;
1480749;37;18;16;16;
7510033;63;18;6;6;
4383596;1;26;1;1;
4383596;47;27;17;16;
1563038;1;7;5;0;
1563038;22;2;8;0;
1563038;28;2;9;0;
1563038;50;10;1;0;
3418782;45;27;1;0;
279827;31;21;13;0;
279827;33;17;13;0;
279827;69;22;5;0;
279827;70;27;18;0;
3576158;56;22;1;1;
3576158;58;25;3;3;
3576158;59;21;7;7;
278901;18;27;11;0;
9957974;1;17;2;0;
9957974;7;24;6;0;
9957974;39;13;11;0;
9957974;58;14;17;0;
