NUMERO;COD_LOCAL;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD;FECHA;PRECIO;
5527536;5247;72;4;12;TO_DATE('2013-07-18','YYYY-MM-DD');257865;
2311085;6499;67;10;7;TO_DATE('2013-04-27','YYYY-MM-DD');34801;
8646863;5374;51;11;9;TO_DATE('2014-04-18','YYYY-MM-DD');35533;
1364818;4722;2;21;18;TO_DATE('2013-07-26','YYYY-MM-DD');29574;
1108047;6180;67;2;14;TO_DATE('2013-06-25','YYYY-MM-DD');46896;
8177024;6122;59;21;12;TO_DATE('2014-03-09','YYYY-MM-DD');110405;
5325565;6013;67;3;8;TO_DATE('2013-04-21','YYYY-MM-DD');104003;
7217112;6156;33;24;11;TO_DATE('2014-01-10','YYYY-MM-DD');37732;
1455702;5045;71;10;19;TO_DATE('2014-03-30','YYYY-MM-DD');179992;
694522;4899;53;30;17;TO_DATE('2013-10-24','YYYY-MM-DD');176412;
9554474;5522;35;13;12;TO_DATE('2013-04-28','YYYY-MM-DD');98658;
5246687;5016;66;11;13;TO_DATE('2014-03-14','YYYY-MM-DD');82212;
9594857;5112;59;14;10;TO_DATE('2013-06-27','YYYY-MM-DD');14921;
9758179;5794;12;16;9;TO_DATE('2013-04-28','YYYY-MM-DD');249994;
9556443;4930;52;28;17;TO_DATE('2013-12-21','YYYY-MM-DD');24934;
6701582;5738;70;9;17;TO_DATE('2013-12-29','YYYY-MM-DD');250142;
8736236;5838;67;1;9;TO_DATE('2013-12-04','YYYY-MM-DD');221006;
4003724;4513;69;9;1;TO_DATE('2013-11-19','YYYY-MM-DD');182191;
364745;6000;72;1;2;TO_DATE('2013-05-16','YYYY-MM-DD');268204;
8731120;6090;66;23;10;TO_DATE('2013-05-15','YYYY-MM-DD');225194;
4417999;6326;22;28;14;TO_DATE('2013-06-21','YYYY-MM-DD');187195;
7920602;5695;69;2;13;TO_DATE('2013-08-09','YYYY-MM-DD');102085;
1032291;6185;37;19;3;TO_DATE('2013-06-09','YYYY-MM-DD');180794;
4365275;5417;17;24;5;TO_DATE('2013-11-24','YYYY-MM-DD');144410;
6638035;6070;67;3;5;TO_DATE('2013-07-12','YYYY-MM-DD');108182;
9068920;4902;31;18;9;TO_DATE('2013-12-05','YYYY-MM-DD');78996;
9219441;6267;56;18;2;TO_DATE('2013-04-19','YYYY-MM-DD');213595;
9146606;5697;69;6;10;TO_DATE('2014-04-06','YYYY-MM-DD');254822;
1461745;5947;56;19;19;TO_DATE('2013-06-09','YYYY-MM-DD');129134;
6691087;6140;25;25;4;TO_DATE('2014-03-16','YYYY-MM-DD');141090;
9224833;4545;69;9;9;TO_DATE('2014-01-17','YYYY-MM-DD');156569;
3769921;4632;28;19;12;TO_DATE('2013-09-11','YYYY-MM-DD');264110;
298555;5912;57;20;8;TO_DATE('2013-05-14','YYYY-MM-DD');108445;
2750293;5209;54;25;6;TO_DATE('2013-10-08','YYYY-MM-DD');119578;
4814100;5292;67;4;5;TO_DATE('2013-11-19','YYYY-MM-DD');133915;
5890640;5090;67;3;16;TO_DATE('2013-09-09','YYYY-MM-DD');153536;
5879583;4948;43;18;8;TO_DATE('2013-04-30','YYYY-MM-DD');156633;
6944380;5492;9;11;13;TO_DATE('2014-03-15','YYYY-MM-DD');216737;
5556163;5812;67;10;17;TO_DATE('2013-08-23','YYYY-MM-DD');185590;
327927;5977;65;15;18;TO_DATE('2013-11-17','YYYY-MM-DD');132485;
8613831;5209;55;12;10;TO_DATE('2013-09-01','YYYY-MM-DD');158225;
1630414;6498;22;14;7;TO_DATE('2013-05-25','YYYY-MM-DD');83388;
2860607;4905;67;8;18;TO_DATE('2013-09-22','YYYY-MM-DD');283483;
1146315;5422;12;20;5;TO_DATE('2013-08-20','YYYY-MM-DD');50203;
4613241;4764;54;11;11;TO_DATE('2014-01-13','YYYY-MM-DD');254814;
724631;5109;11;22;4;TO_DATE('2013-11-06','YYYY-MM-DD');226322;
2103285;6292;70;4;8;TO_DATE('2013-05-06','YYYY-MM-DD');278977;
1809343;4845;12;17;6;TO_DATE('2014-02-16','YYYY-MM-DD');164169;
3967187;4805;52;26;3;TO_DATE('2013-10-12','YYYY-MM-DD');47351;
3545379;5900;57;12;18;TO_DATE('2013-09-29','YYYY-MM-DD');265244;
6904616;4775;65;27;14;TO_DATE('2013-08-04','YYYY-MM-DD');285163;
50574;5484;4;24;1;TO_DATE('2013-06-07','YYYY-MM-DD');74441;
3331072;4671;1;29;1;TO_DATE('2014-03-15','YYYY-MM-DD');262090;
9986197;5437;57;19;18;TO_DATE('2013-07-21','YYYY-MM-DD');232205;
4528391;4745;65;17;13;TO_DATE('2014-02-07','YYYY-MM-DD');277902;
5590703;4656;60;11;13;TO_DATE('2013-06-10','YYYY-MM-DD');15863;
8764350;5230;69;2;10;TO_DATE('2014-03-10','YYYY-MM-DD');157039;
3406212;5486;69;9;7;TO_DATE('2014-03-16','YYYY-MM-DD');169229;
981657;4534;4;14;1;TO_DATE('2013-11-12','YYYY-MM-DD');264072;
5152735;5893;64;22;19;TO_DATE('2013-06-15','YYYY-MM-DD');263754;
5205149;4715;68;10;5;TO_DATE('2014-01-26','YYYY-MM-DD');80797;
9624755;4516;56;28;19;TO_DATE('2013-04-19','YYYY-MM-DD');53453;
9557622;6013;72;10;5;TO_DATE('2014-01-03','YYYY-MM-DD');222431;
5355518;4865;62;15;19;TO_DATE('2013-08-22','YYYY-MM-DD');23697;
6452511;6319;57;28;15;TO_DATE('2014-03-20','YYYY-MM-DD');299413;
8601027;6029;72;9;11;TO_DATE('2013-04-21','YYYY-MM-DD');209240;
6757156;5006;69;7;18;TO_DATE('2013-05-13','YYYY-MM-DD');56578;
2776260;6102;66;20;16;TO_DATE('2013-10-19','YYYY-MM-DD');49791;
9075454;5187;71;8;12;TO_DATE('2014-02-10','YYYY-MM-DD');45620;
9960038;6191;61;27;3;TO_DATE('2013-10-20','YYYY-MM-DD');254004;
9137141;5747;13;15;16;TO_DATE('2013-09-04','YYYY-MM-DD');271909;
4601179;5134;70;2;15;TO_DATE('2013-04-25','YYYY-MM-DD');134568;
4378061;5535;65;13;3;TO_DATE('2013-07-23','YYYY-MM-DD');112344;
1009952;5000;29;20;10;TO_DATE('2013-05-11','YYYY-MM-DD');139789;
7408348;4874;66;13;14;TO_DATE('2013-12-09','YYYY-MM-DD');158316;
6251487;5648;55;11;11;TO_DATE('2013-10-15','YYYY-MM-DD');221068;
9452757;4753;14;14;2;TO_DATE('2013-09-12','YYYY-MM-DD');132344;
1121834;5618;11;22;1;TO_DATE('2013-10-13','YYYY-MM-DD');151099;
4105400;6152;65;22;5;TO_DATE('2013-09-11','YYYY-MM-DD');71916;
7145929;6315;68;2;6;TO_DATE('2013-07-01','YYYY-MM-DD');182836;
999158;5804;17;27;14;TO_DATE('2013-10-22','YYYY-MM-DD');272125;
3633086;4913;44;22;20;TO_DATE('2013-08-24','YYYY-MM-DD');149644;
8441684;5679;53;25;20;TO_DATE('2013-10-26','YYYY-MM-DD');195063;
1051605;6217;59;16;18;TO_DATE('2014-03-17','YYYY-MM-DD');221095;
8489285;4636;59;20;18;TO_DATE('2013-11-28','YYYY-MM-DD');63192;
9145560;6113;69;9;14;TO_DATE('2013-12-10','YYYY-MM-DD');149145;
2220249;5894;72;2;17;TO_DATE('2014-03-22','YYYY-MM-DD');256537;
6893843;4962;60;13;15;TO_DATE('2014-02-16','YYYY-MM-DD');34812;
9969267;5333;28;18;16;TO_DATE('2014-02-25','YYYY-MM-DD');172671;
8863492;4861;69;2;4;TO_DATE('2014-03-31','YYYY-MM-DD');242032;
5445761;4648;36;21;2;TO_DATE('2013-05-22','YYYY-MM-DD');213901;
4283455;6160;66;26;6;TO_DATE('2013-12-03','YYYY-MM-DD');190493;
9723538;5304;42;28;1;TO_DATE('2013-05-19','YYYY-MM-DD');202424;
6680878;4859;28;17;17;TO_DATE('2013-09-21','YYYY-MM-DD');274991;
5508593;5014;61;14;7;TO_DATE('2013-11-19','YYYY-MM-DD');259678;
6986901;5946;70;5;19;TO_DATE('2013-11-09','YYYY-MM-DD');76068;
8640073;4528;68;4;16;TO_DATE('2013-09-30','YYYY-MM-DD');140073;
8921634;5679;62;22;6;TO_DATE('2013-04-30','YYYY-MM-DD');115118;
8586117;4571;28;14;17;TO_DATE('2013-08-24','YYYY-MM-DD');155980;
6017021;6027;69;10;10;TO_DATE('2013-08-20','YYYY-MM-DD');189493;
1276752;4622;31;12;10;TO_DATE('2013-07-31','YYYY-MM-DD');106035;
7861477;5326;53;20;15;TO_DATE('2013-06-20','YYYY-MM-DD');86152;
9519287;5955;12;24;20;TO_DATE('2014-03-27','YYYY-MM-DD');212975;
860314;5939;71;5;6;TO_DATE('2014-01-18','YYYY-MM-DD');90281;
854671;4921;71;9;19;TO_DATE('2014-03-26','YYYY-MM-DD');113676;
2838030;6450;55;24;16;TO_DATE('2014-03-23','YYYY-MM-DD');19121;
9067819;5707;67;3;12;TO_DATE('2013-11-13','YYYY-MM-DD');198282;
2582720;5567;56;28;8;TO_DATE('2013-05-03','YYYY-MM-DD');78169;
8307363;5103;70;4;18;TO_DATE('2013-07-10','YYYY-MM-DD');76755;
7658791;5384;7;21;12;TO_DATE('2013-09-06','YYYY-MM-DD');80521;
6995410;5603;67;8;4;TO_DATE('2013-06-28','YYYY-MM-DD');75233;
233347;5853;44;21;19;TO_DATE('2013-09-22','YYYY-MM-DD');37209;
9256956;4567;39;18;16;TO_DATE('2013-08-04','YYYY-MM-DD');67488;
565060;6332;6;11;16;TO_DATE('2014-03-11','YYYY-MM-DD');188675;
2533563;4916;50;29;13;TO_DATE('2013-07-21','YYYY-MM-DD');68259;
9126677;4731;5;13;8;TO_DATE('2013-11-23','YYYY-MM-DD');30812;
7562375;6218;11;25;5;TO_DATE('2014-03-18','YYYY-MM-DD');109376;
8106677;6174;70;2;3;TO_DATE('2013-05-07','YYYY-MM-DD');258888;
3320683;5326;51;24;18;TO_DATE('2013-06-19','YYYY-MM-DD');212210;
7325897;4812;65;13;19;TO_DATE('2013-09-28','YYYY-MM-DD');12147;
1826758;5817;6;21;8;TO_DATE('2014-03-20','YYYY-MM-DD');141914;
3895211;6327;49;11;2;TO_DATE('2013-08-14','YYYY-MM-DD');275516;
4106818;5724;29;13;16;TO_DATE('2013-07-20','YYYY-MM-DD');44998;
4133814;4763;72;6;3;TO_DATE('2014-01-05','YYYY-MM-DD');231803;
3509200;4580;57;25;18;TO_DATE('2013-10-23','YYYY-MM-DD');258847;
8880928;5751;67;8;17;TO_DATE('2013-05-06','YYYY-MM-DD');85313;
3933673;5726;40;21;15;TO_DATE('2013-07-09','YYYY-MM-DD');77934;
1623522;5276;69;10;14;TO_DATE('2013-08-01','YYYY-MM-DD');100746;
7866603;5852;67;2;3;TO_DATE('2013-11-23','YYYY-MM-DD');142018;
4121166;6272;58;12;8;TO_DATE('2014-01-07','YYYY-MM-DD');283995;
5596405;4520;52;15;7;TO_DATE('2014-03-24','YYYY-MM-DD');299434;
5789610;5823;71;3;9;TO_DATE('2013-12-18','YYYY-MM-DD');176838;
6628952;4978;69;10;18;TO_DATE('2013-12-16','YYYY-MM-DD');192511;
7265881;5709;67;8;18;TO_DATE('2013-08-20','YYYY-MM-DD');81535;
6096828;5464;72;2;11;TO_DATE('2014-04-04','YYYY-MM-DD');165095;
803668;6381;67;3;11;TO_DATE('2014-01-06','YYYY-MM-DD');49138;
5891741;4524;72;7;20;TO_DATE('2013-09-09','YYYY-MM-DD');117385;
1792797;4553;24;22;7;TO_DATE('2014-01-06','YYYY-MM-DD');30678;
6862262;4726;8;14;4;TO_DATE('2013-09-24','YYYY-MM-DD');156174;
5212835;4851;16;11;2;TO_DATE('2013-05-23','YYYY-MM-DD');109463;
3354779;5122;49;21;13;TO_DATE('2014-02-13','YYYY-MM-DD');85044;
7443586;5995;8;17;5;TO_DATE('2013-10-26','YYYY-MM-DD');205462;
9988067;5581;49;27;1;TO_DATE('2013-05-11','YYYY-MM-DD');238245;
1307184;4828;22;26;3;TO_DATE('2014-01-22','YYYY-MM-DD');251849;
5745883;5953;51;30;12;TO_DATE('2014-03-02','YYYY-MM-DD');203526;
5732152;5683;23;25;6;TO_DATE('2013-11-07','YYYY-MM-DD');79192;
1665133;4713;63;18;7;TO_DATE('2013-12-30','YYYY-MM-DD');96870;
9075388;6364;62;25;5;TO_DATE('2013-11-26','YYYY-MM-DD');295393;
8042528;5384;40;20;2;TO_DATE('2013-09-12','YYYY-MM-DD');12575;
6783034;4799;18;19;11;TO_DATE('2013-10-23','YYYY-MM-DD');206185;
6727881;4834;52;16;6;TO_DATE('2014-02-15','YYYY-MM-DD');151089;
3071029;6467;21;11;17;TO_DATE('2013-10-17','YYYY-MM-DD');51309;
362253;6215;14;30;14;TO_DATE('2013-09-08','YYYY-MM-DD');278589;
1306459;6418;47;17;15;TO_DATE('2014-03-25','YYYY-MM-DD');197940;
2838806;6204;69;10;1;TO_DATE('2013-07-03','YYYY-MM-DD');230102;
6576964;5549;68;4;3;TO_DATE('2013-05-06','YYYY-MM-DD');59651;
1747841;4768;67;5;18;TO_DATE('2013-11-19','YYYY-MM-DD');268293;
8806704;5246;71;6;15;TO_DATE('2013-08-03','YYYY-MM-DD');111860;
761262;6458;18;14;5;TO_DATE('2013-06-03','YYYY-MM-DD');109030;
8680347;5117;4;24;18;TO_DATE('2014-03-10','YYYY-MM-DD');17654;
6588988;6344;59;19;15;TO_DATE('2013-07-11','YYYY-MM-DD');252888;
862551;5928;70;1;11;TO_DATE('2013-12-11','YYYY-MM-DD');295616;
1881738;5602;8;18;18;TO_DATE('2013-10-12','YYYY-MM-DD');27894;
5871365;5056;71;7;11;TO_DATE('2013-07-20','YYYY-MM-DD');225316;
5358060;4994;71;6;4;TO_DATE('2013-08-19','YYYY-MM-DD');280861;
3286278;5532;69;8;14;TO_DATE('2013-09-13','YYYY-MM-DD');162847;
1626740;5648;66;17;16;TO_DATE('2013-10-10','YYYY-MM-DD');115844;
6939925;6407;65;22;2;TO_DATE('2013-09-22','YYYY-MM-DD');168839;
8111427;5243;71;4;3;TO_DATE('2013-12-26','YYYY-MM-DD');68766;
3290210;4596;67;10;13;TO_DATE('2014-04-09','YYYY-MM-DD');90747;
7871224;5523;61;18;18;TO_DATE('2013-09-10','YYYY-MM-DD');117493;
9686275;4866;68;4;2;TO_DATE('2014-02-25','YYYY-MM-DD');278774;
9659664;4515;49;25;5;TO_DATE('2014-01-03','YYYY-MM-DD');38211;
7983388;6474;40;11;12;TO_DATE('2014-03-03','YYYY-MM-DD');297715;
7564111;4832;71;3;4;TO_DATE('2014-02-09','YYYY-MM-DD');78109;
865026;5343;68;4;20;TO_DATE('2013-05-28','YYYY-MM-DD');299827;
2664687;5404;36;25;2;TO_DATE('2013-08-29','YYYY-MM-DD');122005;
5488749;4766;62;17;10;TO_DATE('2013-05-22','YYYY-MM-DD');285379;
5829229;4561;49;18;16;TO_DATE('2013-05-29','YYYY-MM-DD');119749;
8072198;6085;31;30;16;TO_DATE('2013-06-18','YYYY-MM-DD');201563;
9760527;5809;27;13;17;TO_DATE('2013-12-14','YYYY-MM-DD');112817;
2358166;6141;49;29;12;TO_DATE('2013-06-28','YYYY-MM-DD');192009;
3476985;4956;59;18;16;TO_DATE('2014-01-15','YYYY-MM-DD');68730;
4865680;5256;16;14;1;TO_DATE('2014-03-11','YYYY-MM-DD');153317;
1149462;6140;21;22;11;TO_DATE('2013-06-01','YYYY-MM-DD');127256;
3414338;5532;71;2;17;TO_DATE('2013-12-20','YYYY-MM-DD');151467;
1830078;6008;29;20;4;TO_DATE('2014-03-13','YYYY-MM-DD');282773;
280294;4633;62;22;12;TO_DATE('2013-10-20','YYYY-MM-DD');87508;
6318589;5261;66;30;3;TO_DATE('2014-03-12','YYYY-MM-DD');291108;
5697160;6063;28;25;7;TO_DATE('2013-09-23','YYYY-MM-DD');167355;
3443817;5587;47;21;18;TO_DATE('2013-10-12','YYYY-MM-DD');168270;
4027859;5408;7;24;17;TO_DATE('2014-03-08','YYYY-MM-DD');92080;
3554260;4930;64;19;14;TO_DATE('2014-02-18','YYYY-MM-DD');120120;
2191695;6025;71;6;4;TO_DATE('2013-10-06','YYYY-MM-DD');75179;
7688895;5722;9;23;12;TO_DATE('2013-11-25','YYYY-MM-DD');110932;
6220969;5453;70;10;19;TO_DATE('2013-11-15','YYYY-MM-DD');23949;
1254463;5450;39;29;20;TO_DATE('2013-06-20','YYYY-MM-DD');20622;
4563812;4507;34;29;4;TO_DATE('2013-05-02','YYYY-MM-DD');18402;
9841710;6319;66;20;10;TO_DATE('2014-03-22','YYYY-MM-DD');42848;
136523;4529;65;23;19;TO_DATE('2013-11-25','YYYY-MM-DD');82782;
1877688;4604;53;30;17;TO_DATE('2014-03-06','YYYY-MM-DD');34464;
3354934;5465;70;9;5;TO_DATE('2013-08-28','YYYY-MM-DD');92670;
7295100;4954;12;15;5;TO_DATE('2014-03-27','YYYY-MM-DD');77897;
7115931;4831;21;11;12;TO_DATE('2013-08-09','YYYY-MM-DD');104519;
5302719;6283;68;8;8;TO_DATE('2014-04-05','YYYY-MM-DD');176285;
2087623;5360;68;9;12;TO_DATE('2013-09-27','YYYY-MM-DD');237508;
4502547;4648;31;25;13;TO_DATE('2013-09-23','YYYY-MM-DD');103582;
9537355;5121;72;1;11;TO_DATE('2013-04-22','YYYY-MM-DD');105223;
9792611;5147;70;2;5;TO_DATE('2013-05-01','YYYY-MM-DD');71342;
1346420;5772;71;8;8;TO_DATE('2013-10-11','YYYY-MM-DD');193777;
9554636;6044;20;16;2;TO_DATE('2014-04-13','YYYY-MM-DD');157120;
3136782;5165;56;26;2;TO_DATE('2013-11-05','YYYY-MM-DD');162258;
9703445;4605;72;6;19;TO_DATE('2013-08-25','YYYY-MM-DD');265314;
3658164;5301;61;25;18;TO_DATE('2013-11-07','YYYY-MM-DD');222496;
8115447;6075;55;25;13;TO_DATE('2013-12-22','YYYY-MM-DD');156301;
6379989;5986;72;9;10;TO_DATE('2013-07-11','YYYY-MM-DD');254313;
5050535;6377;13;27;5;TO_DATE('2013-12-30','YYYY-MM-DD');83081;
2552317;6219;62;28;17;TO_DATE('2013-09-17','YYYY-MM-DD');240069;
9553601;6280;66;19;20;TO_DATE('2014-02-11','YYYY-MM-DD');21694;
9385669;6448;70;7;6;TO_DATE('2014-03-13','YYYY-MM-DD');139208;
4422523;5509;65;29;18;TO_DATE('2013-06-24','YYYY-MM-DD');56476;
6193476;5112;59;19;8;TO_DATE('2013-07-27','YYYY-MM-DD');255984;
3443887;5423;63;30;15;TO_DATE('2013-06-21','YYYY-MM-DD');124021;
6845363;5020;70;5;3;TO_DATE('2014-02-22','YYYY-MM-DD');56733;
555158;4756;71;3;11;TO_DATE('2014-04-01','YYYY-MM-DD');94301;
6689969;6116;55;21;1;TO_DATE('2014-01-14','YYYY-MM-DD');136165;
7527438;5457;53;29;9;TO_DATE('2013-07-30','YYYY-MM-DD');169185;
9041508;5692;52;30;13;TO_DATE('2013-12-23','YYYY-MM-DD');139792;
6731046;6038;69;10;7;TO_DATE('2014-03-17','YYYY-MM-DD');152527;
5905027;5972;9;11;12;TO_DATE('2013-07-05','YYYY-MM-DD');107450;
8997280;6226;61;13;10;TO_DATE('2013-10-27','YYYY-MM-DD');258781;
6873328;6303;56;12;7;TO_DATE('2013-12-09','YYYY-MM-DD');182011;
4299824;5542;70;4;16;TO_DATE('2014-04-09','YYYY-MM-DD');197576;
6999475;5296;66;20;2;TO_DATE('2014-03-01','YYYY-MM-DD');270140;
6817705;5363;5;17;7;TO_DATE('2013-08-24','YYYY-MM-DD');44318;
1190689;4547;72;6;17;TO_DATE('2013-08-18','YYYY-MM-DD');80986;
3070859;5269;72;4;6;TO_DATE('2013-10-11','YYYY-MM-DD');54790;
2443814;6490;67;3;6;TO_DATE('2013-09-23','YYYY-MM-DD');286576;
6109645;4634;34;11;8;TO_DATE('2013-10-28','YYYY-MM-DD');167020;
5145552;4754;62;27;13;TO_DATE('2013-12-09','YYYY-MM-DD');247937;
3159046;4790;71;5;18;TO_DATE('2013-09-30','YYYY-MM-DD');250279;
9273640;6488;8;14;5;TO_DATE('2013-08-13','YYYY-MM-DD');36348;
8408518;4827;18;28;8;TO_DATE('2013-06-14','YYYY-MM-DD');261266;
5883675;5089;54;17;8;TO_DATE('2013-04-19','YYYY-MM-DD');136808;
7122460;5923;13;27;19;TO_DATE('2013-08-09','YYYY-MM-DD');24307;
620818;5313;70;3;3;TO_DATE('2013-06-01','YYYY-MM-DD');263831;
9084883;5308;71;5;20;TO_DATE('2013-10-01','YYYY-MM-DD');193684;
4415276;5617;62;25;4;TO_DATE('2013-11-29','YYYY-MM-DD');165976;
6133782;6347;55;19;6;TO_DATE('2014-02-22','YYYY-MM-DD');108070;
2230035;5120;53;15;7;TO_DATE('2013-06-16','YYYY-MM-DD');27363;
702125;4628;67;2;11;TO_DATE('2013-07-21','YYYY-MM-DD');238363;
1346747;5918;67;4;7;TO_DATE('2013-07-19','YYYY-MM-DD');34428;
5122027;5207;23;14;17;TO_DATE('2013-09-23','YYYY-MM-DD');45742;
8375570;5263;66;26;10;TO_DATE('2013-12-17','YYYY-MM-DD');137714;
698275;6237;25;17;7;TO_DATE('2013-07-27','YYYY-MM-DD');188209;
4328658;6390;37;28;1;TO_DATE('2014-01-14','YYYY-MM-DD');213357;
8274458;5812;69;4;14;TO_DATE('2013-06-25','YYYY-MM-DD');262604;
8681593;6492;7;26;20;TO_DATE('2013-12-21','YYYY-MM-DD');51944;
681411;6351;37;14;16;TO_DATE('2013-07-19','YYYY-MM-DD');139612;
5268606;4619;29;12;17;TO_DATE('2014-04-02','YYYY-MM-DD');227551;
9901044;6121;32;13;18;TO_DATE('2013-08-23','YYYY-MM-DD');144347;
5600437;4758;70;10;14;TO_DATE('2013-08-29','YYYY-MM-DD');156660;
9076596;4581;16;17;19;TO_DATE('2013-10-11','YYYY-MM-DD');269637;
7671052;4571;3;15;14;TO_DATE('2014-03-13','YYYY-MM-DD');100253;
1264483;5321;62;16;8;TO_DATE('2013-10-18','YYYY-MM-DD');50993;
2396048;5449;61;29;20;TO_DATE('2013-12-19','YYYY-MM-DD');21678;
473820;4573;55;17;6;TO_DATE('2013-10-10','YYYY-MM-DD');271925;
8308999;6409;71;3;12;TO_DATE('2013-08-26','YYYY-MM-DD');78320;
4184448;5159;59;26;20;TO_DATE('2013-12-27','YYYY-MM-DD');68087;
594189;4592;61;12;16;TO_DATE('2013-09-14','YYYY-MM-DD');115322;
6631452;6196;52;26;1;TO_DATE('2013-07-22','YYYY-MM-DD');220764;
1210927;5495;70;7;17;TO_DATE('2014-02-13','YYYY-MM-DD');168616;
8434158;5072;53;16;8;TO_DATE('2013-07-08','YYYY-MM-DD');200207;
4897558;5797;55;23;17;TO_DATE('2013-07-21','YYYY-MM-DD');86275;
7792948;4560;61;18;1;TO_DATE('2013-08-21','YYYY-MM-DD');167228;
9358904;4553;24;16;18;TO_DATE('2013-07-13','YYYY-MM-DD');89759;
444958;5269;71;4;9;TO_DATE('2013-06-21','YYYY-MM-DD');56851;
5199190;5483;61;19;13;TO_DATE('2013-07-12','YYYY-MM-DD');252185;
7085706;6133;62;15;17;TO_DATE('2013-11-10','YYYY-MM-DD');124261;
549571;5879;66;29;13;TO_DATE('2013-08-04','YYYY-MM-DD');268405;
4351073;6213;66;11;18;TO_DATE('2013-11-24','YYYY-MM-DD');163688;
2016722;5797;56;27;4;TO_DATE('2014-02-24','YYYY-MM-DD');285726;
9227875;6326;34;22;14;TO_DATE('2013-12-18','YYYY-MM-DD');121158;
772639;5044;11;22;14;TO_DATE('2013-06-14','YYYY-MM-DD');165861;
6793965;5532;70;8;16;TO_DATE('2014-02-22','YYYY-MM-DD');259826;
6508805;5686;43;20;15;TO_DATE('2014-02-08','YYYY-MM-DD');186238;
9865745;6285;11;26;16;TO_DATE('2013-09-10','YYYY-MM-DD');13184;
9365230;4592;58;17;1;TO_DATE('2013-05-19','YYYY-MM-DD');234319;
6712094;5014;51;29;2;TO_DATE('2013-10-10','YYYY-MM-DD');276799;
1460799;5320;6;18;6;TO_DATE('2014-03-27','YYYY-MM-DD');215081;
4186810;6395;59;20;14;TO_DATE('2013-08-08','YYYY-MM-DD');179435;
9232146;5075;31;14;20;TO_DATE('2013-10-25','YYYY-MM-DD');173303;
8696628;5940;61;17;18;TO_DATE('2013-12-27','YYYY-MM-DD');17333;
1884877;4515;20;20;8;TO_DATE('2013-09-11','YYYY-MM-DD');57772;
6098855;4799;9;24;13;TO_DATE('2013-09-27','YYYY-MM-DD');208251;
3680602;6176;69;6;18;TO_DATE('2013-12-30','YYYY-MM-DD');210825;
9010080;5959;66;13;20;TO_DATE('2013-12-07','YYYY-MM-DD');195723;
8911910;4829;31;19;10;TO_DATE('2013-10-22','YYYY-MM-DD');113594;
4297685;5452;8;13;16;TO_DATE('2013-05-21','YYYY-MM-DD');105913;
3482255;5157;42;21;13;TO_DATE('2014-01-10','YYYY-MM-DD');292212;
74063;5003;47;17;13;TO_DATE('2013-07-23','YYYY-MM-DD');281839;
975272;5802;62;15;3;TO_DATE('2013-09-08','YYYY-MM-DD');88295;
1352467;5719;69;2;3;TO_DATE('2013-04-30','YYYY-MM-DD');257928;
5517435;5061;63;23;17;TO_DATE('2014-03-10','YYYY-MM-DD');237397;
71557;4635;59;12;20;TO_DATE('2013-05-18','YYYY-MM-DD');262948;
3318691;4845;4;11;4;TO_DATE('2013-12-07','YYYY-MM-DD');55408;
7163570;5537;68;9;20;TO_DATE('2014-03-03','YYYY-MM-DD');168481;
9001437;5344;12;23;3;TO_DATE('2013-12-31','YYYY-MM-DD');179698;
3728089;5564;18;27;14;TO_DATE('2013-09-10','YYYY-MM-DD');26682;
9570112;6347;56;24;16;TO_DATE('2013-10-16','YYYY-MM-DD');245752;
405750;5625;67;9;20;TO_DATE('2013-11-07','YYYY-MM-DD');225109;
6002783;5441;69;2;14;TO_DATE('2014-03-14','YYYY-MM-DD');177913;
7949218;6366;70;6;7;TO_DATE('2013-10-21','YYYY-MM-DD');25560;
6800972;4913;38;18;16;TO_DATE('2013-04-27','YYYY-MM-DD');220520;
4472924;5751;70;1;18;TO_DATE('2013-12-04','YYYY-MM-DD');131467;
1930595;5365;63;27;3;TO_DATE('2013-06-23','YYYY-MM-DD');243778;
1282179;5121;67;6;10;TO_DATE('2013-12-29','YYYY-MM-DD');168916;
2716025;5108;17;28;15;TO_DATE('2013-09-25','YYYY-MM-DD');67526;
1279200;4502;47;16;15;TO_DATE('2013-08-15','YYYY-MM-DD');75321;
249394;4812;59;19;18;TO_DATE('2013-06-17','YYYY-MM-DD');70258;
8233815;6116;55;26;19;TO_DATE('2013-06-16','YYYY-MM-DD');260124;
6199501;6343;69;1;6;TO_DATE('2013-05-21','YYYY-MM-DD');191098;
9561487;5694;22;28;14;TO_DATE('2013-09-06','YYYY-MM-DD');225906;
7421198;6018;67;4;6;TO_DATE('2014-02-06','YYYY-MM-DD');227568;
7348138;5476;10;20;15;TO_DATE('2014-01-25','YYYY-MM-DD');268702;
9927257;5069;47;27;16;TO_DATE('2013-08-22','YYYY-MM-DD');197544;
3683605;4947;70;7;9;TO_DATE('2014-01-27','YYYY-MM-DD');66495;
6720031;4745;63;16;20;TO_DATE('2014-01-02','YYYY-MM-DD');82625;
1688584;5494;51;17;2;TO_DATE('2013-05-18','YYYY-MM-DD');14061;
9109592;6157;71;9;14;TO_DATE('2014-01-03','YYYY-MM-DD');145605;
6748323;4545;71;9;4;TO_DATE('2013-09-23','YYYY-MM-DD');195095;
4983509;5119;68;6;19;TO_DATE('2013-06-30','YYYY-MM-DD');33753;
